number,value,params_alpha,params_l1_ratio,state
0,0.4585786326809055,0.6568882901609387,0.9170352517562821,COMPLETE
1,0.4734570029188475,0.8313270202819325,0.8172637897275719,COMPLETE
2,0.40478167753333194,0.9794510235673906,0.3181672133676247,COMPLETE
3,0.3147016849962079,0.6818937250058271,0.018012370157394597,COMPLETE
4,0.4238145452939678,0.8650317475525241,0.457181827764346,COMPLETE
5,0.3670052052063142,0.3032567129989992,0.6784871282270794,COMPLETE
6,0.32485705941858556,0.4213851052196766,0.1192450886779899,COMPLETE
7,0.4338097744039229,0.9483314451609968,0.4667663321806808,COMPLETE
8,0.3898885421768144,0.3220689637284245,0.9371934451901583,COMPLETE
9,0.3591156285202133,0.6013558171182483,0.23613486022837424,COMPLETE
10,0.2938967924249384,0.01184687492011477,0.04186101640809453,COMPLETE
11,0.29521542055304184,0.07005959583242938,0.016975106746759252,COMPLETE
12,0.29591515846639554,0.0761708023836451,0.03554897651723365,COMPLETE
13,0.2954941403912089,0.02408955594182595,0.21266305309697087,COMPLETE
14,0.32103955523399924,0.17678138423189366,0.32528083429773524,COMPLETE
15,0.34575082666594475,0.19839615035620936,0.6169673440064867,COMPLETE
16,0.30378876339046523,0.13059749130752524,0.14775666253122677,COMPLETE
17,0.29458479227711454,0.01194613977907983,0.32949424924733095,COMPLETE
18,0.35127156038800533,0.3184471658916784,0.40765258417301237,COMPLETE
19,0.39372273914164935,0.4719925643030734,0.6351279613963068,COMPLETE
20,0.32993672548799513,0.2304785777022724,0.3320863709863253,COMPLETE
21,0.2951363302919304,0.03268907685171471,0.11365414651773391,COMPLETE
22,0.2943019125576932,0.01709179178373503,0.13337505985683398,COMPLETE
23,0.306039979935794,0.12806447170093313,0.19416005807849823,COMPLETE
24,0.2945250247662781,0.013644244804010169,0.26247064159930555,COMPLETE
25,0.30204974618189173,0.13131025693883874,0.106364855656606,COMPLETE
26,0.32346244383485256,0.23034981191064569,0.258572667172217,COMPLETE
27,0.29973971737379085,0.10282387279799189,0.09202392596037898,COMPLETE
28,0.33242504991814015,0.40495194578832383,0.17450674885041442,COMPLETE
29,0.35414604284570705,0.27173404946229013,0.5473003072500627,COMPLETE
30,0.37544425811166665,0.5524519775392627,0.39845976261499017,COMPLETE
31,0.29646344955983345,0.025716563239797915,0.25424328172724614,COMPLETE
32,0.2967242857424936,0.022781196384221256,0.30970232226367095,COMPLETE
33,0.35047319677492617,0.17637805637545373,0.8141623226422341,COMPLETE
34,0.33078024095650005,0.7126764138812726,0.06887864325043419,COMPLETE
35,0.3096004757351549,0.09251375914319743,0.3930525299450001,COMPLETE
36,0.2944483500026046,0.016565683984281727,0.16956270505702545,COMPLETE
37,0.30916034328020875,0.17065872521871683,0.17155321011435387,COMPLETE
38,0.29621616440243825,0.07437782101886371,0.050104035795495994,COMPLETE
39,0.3743117311649885,0.7317439079479698,0.2762578612548895,COMPLETE
40,0.3269720073584411,0.36583828666155066,0.16183169169766912,COMPLETE
41,0.29521278432734066,0.014421455948570003,0.36471722826788644,COMPLETE
42,0.2996638722334677,0.06238529740974182,0.2117543309889609,COMPLETE
43,0.30093654437139417,0.13381354113730337,0.07800225968281295,COMPLETE
44,0.2951995905599408,0.011651645949912472,0.45998546088974024,COMPLETE
45,0.29884807992217355,0.06853198704743271,0.14115633428918134,COMPLETE
46,0.3013123097856452,0.24642761116064982,0.019370314713674036,COMPLETE
47,0.38423413669966,0.8258681848470315,0.2884567223473724,COMPLETE
48,0.31055437243736883,0.15217864090163624,0.2241687871675292,COMPLETE
49,0.3308099993459025,0.10269812254991809,0.8894626639521444,COMPLETE
