number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.26416407043256485,0.9550389653411717,0.02695172814884472,12,49,0.29273083587716936,499,98,3.423216711244539e-06,0.20591925939599048,0.6014229505950381,COMPLETE
1,0.26192179820857997,0.6226395801078437,0.051963147609446605,9,9,0.25079087993502686,867,61,1.1640720992233348e-05,0.0007745342415084772,0.775429886261169,COMPLETE
2,0.2631371414313202,0.6771081600192193,0.017684379885883676,14,100,0.24842816090291436,432,140,2.4925977920726265e-07,0.024536843423283248,0.7205757738521346,COMPLETE
3,0.2616105742632289,0.7707369370710782,0.032747424581141264,8,23,0.491967455116257,400,32,0.0043811542842319764,0.0006528075677013502,0.98068809805794,COMPLETE
4,0.2631128320804863,0.9553874448038409,0.013685925552901058,10,12,0.23683454942354604,584,48,6.41086984339692e-05,6.38113982833094e-08,0.7937092947781218,COMPLETE
5,0.2755910084450808,0.7388182694967852,0.13104567874680262,5,32,0.16770641021275923,505,17,0.026174597502561896,6.498610123365315e-05,0.9623729870498836,COMPLETE
6,0.28127283506152884,0.781407214049601,0.25310410051690957,15,47,0.22817724516279225,847,111,1.2282838380361016e-06,0.0034772827965932913,0.5745761361207655,COMPLETE
7,0.2779919033375946,0.8125192000195587,0.20233538630043846,10,31,0.13848558936343014,877,97,2.0457622335296276e-07,0.00024244283486099874,0.9144134141349975,COMPLETE
8,0.27448722827180966,0.842781389402009,0.2221876153321408,12,70,0.4490735902907448,891,24,0.019959547418826055,0.00018008754689824785,0.5692932124583577,COMPLETE
9,0.26567083175265893,0.5831739426370675,0.10163170115756964,11,32,0.27907714151465984,791,94,5.337259367756506e-08,0.004074413402518906,0.5485307633472665,COMPLETE
10,0.2641788000667283,0.5162723450976339,0.0449189793140067,5,71,0.0027615413940872413,355,48,0.9303488297448126,1.278032079941633e-06,0.8736620191596927,COMPLETE
11,0.26291433117422935,0.6433102883896684,0.049735634496364735,7,5,0.4885642953755165,707,61,0.0006552185195645929,3.7447234996660963e-06,0.722235211463495,COMPLETE
12,0.2627018958438893,0.6904297396728297,0.03506566872390617,8,18,0.41613071188879597,684,67,0.00018368747052469026,1.8079566735629354e-05,0.8352944568323506,COMPLETE
13,0.27281083810246143,0.8769195728053197,0.0873576446634481,3,22,0.3741734283795569,979,37,0.008420445121073176,0.800406786230495,0.98685667399656,COMPLETE
14,0.2601739999787448,0.5945178241391712,0.024757840824743325,8,8,0.3563022611635323,302,72,1.0130101732495943e-05,0.003037109751372854,0.6577477642105173,COMPLETE
15,0.25873650977698603,0.5220465260372228,0.021637985714117174,6,25,0.3828888740491725,300,75,0.0020345766527000214,0.03333051902972439,0.6897116116321922,COMPLETE
16,0.2582440447977504,0.5003556825837643,0.020118621114720705,6,61,0.3483119332978276,307,127,0.3315659337158742,0.0481579686730816,0.6587727400122156,COMPLETE
17,0.2614472263434992,0.5042217213564643,0.011992145870950403,5,67,0.3319311874853409,303,147,0.8228862594116569,0.04148946254386019,0.6595595743931679,COMPLETE
18,0.26198421475552025,0.5491711619824219,0.017151820871573138,3,83,0.4060989102500243,563,130,0.1353315108229968,0.09283285963195256,0.6564463203837312,COMPLETE
19,0.26095398664302366,0.5610228999338893,0.020390442449461154,6,57,0.32208124354680534,433,122,0.0012031854630181998,0.9737779261894023,0.5012715434819135,COMPLETE
20,0.26077681185630275,0.7090392545058791,0.011649224034767768,4,40,0.4118001024835595,492,82,0.10050542996094923,0.014880969642244732,0.7155842679514627,COMPLETE
21,0.2602035104116871,0.6037125841937594,0.022732978649403743,7,59,0.3466166758583344,307,79,4.625620953177183e-05,0.004436971381856204,0.643019878276059,COMPLETE
22,0.259829553365707,0.5032927162479658,0.03004605637297502,7,83,0.3705978104191878,367,75,0.0012737863744629045,0.15999131650244142,0.6874072371993829,COMPLETE
23,0.2620645929705231,0.5382205170487778,0.03620346314703846,6,86,0.3837537561517894,381,111,0.00222932551973246,0.20474312918382104,0.6997053187675905,COMPLETE
24,0.2646970381202578,0.5078676631122611,0.07043838365732874,6,81,0.4407480986780243,360,88,0.11705217461270433,0.16628981643953725,0.6097810286486974,COMPLETE
25,0.2609028928572824,0.6512058959234874,0.01781621820521878,7,95,0.29937120296956127,441,106,0.0006082429009831231,0.011360360106340294,0.7632569087834676,COMPLETE
26,0.26151681391677556,0.5654467016550594,0.02897714250370811,4,58,0.1747529440659259,353,49,0.00025846091544911735,0.050014944567856656,0.8216812304639844,COMPLETE
27,0.25806427830485223,0.5012794827213422,0.014478668529614736,9,41,0.44995511457865334,465,122,0.03026127520831537,0.3644795407469115,0.6940506696615834,COMPLETE
28,0.2602257189725542,0.5420495230471338,0.013843691847402603,9,41,0.4592753210626648,632,138,0.04393492956275233,0.4959342480234975,0.6211512863370122,COMPLETE
29,0.2590312520443775,0.6139756502570398,0.010077033838294017,13,43,0.29517258601715185,481,120,0.37106638603548137,3.1045706136771745e-08,0.7455045373349135,COMPLETE
