number,value,params_alpha,params_l1_ratio,state
0,0.42227567301157226,0.22928551527156513,0.8725312649151198,COMPLETE
1,0.4272578491208608,0.29637857792309974,0.7506235141133512,COMPLETE
2,0.4084531563116823,0.6210443683186365,0.20094816033224985,COMPLETE
3,0.3658724539029883,0.12278969999515355,0.16331804121774987,COMPLETE
4,0.49626508803520053,0.9623131690487888,0.7138479790786765,COMPLETE
5,0.39901654818579924,0.8524385228380023,0.09902047404886155,COMPLETE
6,0.3736536780170293,0.5592564294385168,0.02805484281227562,COMPLETE
7,0.38046794661177347,0.12441359515373189,0.5158444104495555,COMPLETE
8,0.4171397339006558,0.1977608170442822,0.8935714310127094,COMPLETE
9,0.4393719946306214,0.48649179455161007,0.5650010531677131,COMPLETE
10,0.3590999795587082,0.03695032536203871,0.29765235489191416,COMPLETE
11,0.3554577411378529,0.018806275113636983,0.30478919022546447,COMPLETE
12,0.3610468728228695,0.04648423179027498,0.32092538190945274,COMPLETE
13,0.40489595952132124,0.3470003784996314,0.3610684783311609,COMPLETE
14,0.35872511068887486,0.031155391041107566,0.36111094541688016,COMPLETE
15,0.4148676378048084,0.38423549526075174,0.4164752244204507,COMPLETE
16,0.3663698698567293,0.0478816704044899,0.6438546958604949,COMPLETE
17,0.4490255506268334,0.6986407445553368,0.44987423822550143,COMPLETE
18,0.39997523582301037,0.44414486688283633,0.24116343555071115,COMPLETE
19,0.3909250588523768,0.21983012701875343,0.41138287358258013,COMPLETE
20,0.38536904789499193,0.13170848030784787,0.5865059122111087,COMPLETE
21,0.35938858827324405,0.04003222603367369,0.2787732047846028,COMPLETE
22,0.3548515899206338,0.01262390203711694,0.3333897687272939,COMPLETE
23,0.3663835712426282,0.14238796505247137,0.1382757089241167,COMPLETE
24,0.35566876925606955,0.016273428256694096,0.4695810103159155,COMPLETE
25,0.40469593016925515,0.2739107837970795,0.4641675838088459,COMPLETE
26,0.414564138724548,0.16674679200804352,0.9972496706976008,COMPLETE
27,0.42288302426258034,0.7541550860481355,0.2346359437018899,COMPLETE
28,0.37657008309188733,0.10088298654186434,0.5310914269219223,COMPLETE
29,0.38916092572076116,0.22895801530934798,0.3715239311706443,COMPLETE
30,0.42866892030441106,0.35275266157430646,0.6394776393958305,COMPLETE
31,0.3561166957349232,0.02095965918911477,0.34713857322613967,COMPLETE
32,0.37155298205609044,0.08509268775752804,0.48042952721654736,COMPLETE
33,0.35555557396185544,0.019118845894095467,0.3159387577576088,COMPLETE
34,0.3780279886568894,0.2664685595884261,0.1864806702454966,COMPLETE
35,0.35572933264846074,0.010830055733103342,0.08830210664911367,COMPLETE
36,0.3745634725757768,0.17102698262274796,0.2599765142482046,COMPLETE
37,0.3693798924900805,0.08834337128904624,0.4024026432359549,COMPLETE
38,0.3639417610917139,0.09033309119887695,0.19111632562820552,COMPLETE
39,0.44969804246824613,0.9904200559736733,0.3031816037966294,COMPLETE
40,0.40522307164023613,0.17150188880276407,0.7567770265323943,COMPLETE
41,0.3558138637034995,0.013771044562596693,0.07689657823060864,COMPLETE
42,0.35895886292207885,0.09057012589325958,0.01153480749429453,COMPLETE
43,0.35558531746555694,0.010522636454742579,0.11997263960346308,COMPLETE
44,0.3625385521625662,0.06869870312331555,0.22948554755803413,COMPLETE
45,0.3938805077304065,0.5831381151055447,0.14038950044843856,COMPLETE
46,0.37213435974888887,0.12871141613250728,0.3119963468020968,COMPLETE
47,0.473363158935901,0.8527994190769624,0.5390036524535362,COMPLETE
48,0.35780750839741066,0.059639742314377645,0.054325753769549345,COMPLETE
49,0.3876286094614943,0.19025401015892307,0.43223860883503074,COMPLETE
