number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.33043107005230854,0.6636613722167428,0.010586761337210182,3,31,0.24688710969643474,1000,99,0.001926537116416974,1.8981249722322222e-06,0.8107456639399837,COMPLETE
1,0.35093063840461836,0.8282110427950635,0.2603035841181742,6,81,0.047081021311807525,315,22,3.948190274158411e-06,0.01468077016125945,0.6346097123032652,COMPLETE
2,0.3282539456563404,0.7922241278132085,0.010595007527057422,16,23,0.05891926344001669,738,39,8.674679243502992e-08,6.652982732050869e-07,0.5537320638346089,COMPLETE
3,0.3300303631763567,0.8198237703265792,0.05397931844444167,16,16,0.4660480834991157,788,81,1.0248804240796829e-08,7.32627982111637e-06,0.862689488117182,COMPLETE
4,0.33018645834763133,0.9348608963929429,0.010881918702571875,6,80,0.28373541733081264,429,135,0.0002983992968807026,2.071749782629556e-06,0.5007655870211858,COMPLETE
5,0.3316480851721437,0.6557617136894613,0.06601242414608065,13,8,0.22678726763130685,438,88,0.00021061626236213829,0.010279799155365405,0.6322706066213877,COMPLETE
6,0.3315680763857852,0.7862768205495845,0.09027759337219617,16,77,0.13391887825596516,425,115,0.0008925229238203333,0.11552990480867953,0.7109122960973366,COMPLETE
7,0.33389236726015253,0.6524934584321437,0.1108579778672461,3,24,0.4050295717928888,659,53,0.0004075106230452155,0.8976783942951588,0.6406537653940494,COMPLETE
8,0.3318749558362256,0.8842813657998312,0.051602341502122694,16,18,0.2034405765637179,595,18,5.139029386558621e-05,0.06096578354187964,0.5540299541527964,COMPLETE
9,0.33157501877024553,0.8095507496700909,0.05828859370878458,9,53,0.11276343819640172,851,136,1.2194141888816204e-06,1.593199067719568e-08,0.6992843444852066,COMPLETE
10,0.3285421181685122,0.5199841801289506,0.0221754370916666,12,46,0.002957226225949239,687,52,0.26018191744449753,2.9083972705673447e-08,0.9681598396705265,COMPLETE
11,0.3263887535576454,0.5033804661420399,0.02232453653590632,12,44,0.0012002758676313285,698,47,0.49712938948171465,1.51100786414474e-08,0.9943115247848815,COMPLETE
12,0.3275215181151397,0.506733098892429,0.02136061699815826,13,45,0.08830181476348853,801,49,0.8052874541215059,1.8351385729318669e-07,0.9786517055190656,COMPLETE
13,0.32779013360316916,0.5070282112254063,0.022562432882380974,12,54,0.0018852832940943083,882,59,0.998830817141847,0.00010962533408820627,0.9915803317244536,COMPLETE
14,0.3267548873547569,0.5805930762885475,0.024510671035376373,10,42,0.11510909154810892,565,34,0.03585068795883673,1.5566088939431716e-07,0.9095502946926779,COMPLETE
15,0.3285189755739662,0.6004855204160514,0.03165250580978545,9,65,0.1662164206168322,563,32,0.019504984300683967,3.619817423696408e-05,0.8939069969389002,COMPLETE
16,0.3265271317729697,0.5802241747781743,0.03140174229521432,10,96,0.32212739805138146,539,70,0.0379927186022421,1.2733234256999244e-07,0.9077969184533177,COMPLETE
17,0.328083790262635,0.5818647247151205,0.03665739403134551,7,99,0.326101947946383,538,67,0.024039691347340297,0.00019504685794649484,0.8186667099914976,COMPLETE
18,0.32691551465903695,0.7071063646816955,0.016186618853428602,11,99,0.32946660342175926,493,70,0.005603466685528028,1.1049604032334933e-08,0.9370951190902285,COMPLETE
19,0.32635782958742143,0.5705105109015762,0.034188695302858944,14,65,0.38925379838962976,350,95,0.1310808996153222,0.0010882495878392824,0.8236029969305767,COMPLETE
20,0.337575845871121,0.9991972266425428,0.15357975414978703,14,63,0.41315091598302733,316,110,2.544932383139528e-05,0.001027569703828348,0.7909949611434244,COMPLETE
21,0.32896676221392956,0.5595324213554888,0.0373654629530287,14,89,0.363758556271145,354,94,0.18741254135115043,0.0005821333687023859,0.8551981984222706,COMPLETE
22,0.32722480106495955,0.6206548070095679,0.015912940908605788,10,67,0.49527141464637203,632,68,0.10837338923665236,1.1117608134141417e-07,0.9294777745343871,COMPLETE
23,0.3289926927291897,0.5428471455812459,0.031169729849618154,8,35,0.28148829292167077,494,110,0.0057056806099306445,1.7834140823448364e-05,0.7569515694836972,COMPLETE
24,0.3275256394257067,0.7223982795463845,0.01625756309936412,14,89,0.4022392094486875,695,80,0.08858540404531248,0.0008836859970694065,0.8529511274880228,COMPLETE
25,0.3288740558894017,0.6210121422614092,0.04294350440969559,11,72,0.3527160933099149,371,118,0.005491660764923814,6.204096803512304e-08,0.953912411755605,COMPLETE
26,0.32704417586559903,0.5498267528842218,0.02665298112776752,11,58,0.4514033008766998,496,10,0.5046014189378724,8.748931556534611e-07,0.8899380112442283,COMPLETE
27,0.32943438229512195,0.6967463972584531,0.08073091094873847,12,38,0.29333252510519425,609,79,0.04682390810820376,0.0037437311368531466,0.9974224651751151,COMPLETE
28,0.32727557346920966,0.5536761516052588,0.01829770949470122,15,89,0.36730443055397505,733,41,0.012138788832966702,6.755866227999186e-06,0.7527804522616296,COMPLETE
29,0.32571484259063593,0.635855760310922,0.013400658992175784,13,59,0.25866022421489127,390,100,0.001866284090850606,3.348103933963841e-07,0.8097549279508464,COMPLETE
