number,value,params_alpha,params_l1_ratio,state
0,1.4019241319876807,0.5005670540281316,0.7599011807042473,COMPLETE
1,1.3420393600815197,0.17499045010382594,0.8512706439903772,COMPLETE
2,1.4291448324273028,0.907775616215565,0.5300621444249144,COMPLETE
3,1.378684150621102,0.26312644326180895,0.30086022966855236,COMPLETE
4,1.5125572773217952,0.030401583639643202,0.22836597760890684,COMPLETE
5,1.3824512289788782,0.4076941671948192,0.7735750010035191,COMPLETE
6,1.3609554546439029,0.1511697935658057,0.6863577145391258,COMPLETE
7,1.466558171972135,0.8946323288564363,0.010797142298914358,COMPLETE
8,1.3608455377632256,0.48913845067027895,0.4624429734246622,COMPLETE
9,1.3514495701278613,0.4816443824159303,0.4014143898707125,COMPLETE
10,1.4451961693193376,0.6660634633267407,0.960082924553858,COMPLETE
11,1.4464257092142192,0.673364455843151,0.9841093083652864,COMPLETE
12,1.3474026236750827,0.2893578358572162,0.48000805384653705,COMPLETE
13,1.342007368679974,0.2820763958478612,0.6162878015848495,COMPLETE
14,1.3820942828845213,0.08275825077118962,0.8458537033478697,COMPLETE
15,1.3481409676404976,0.2155764391991909,0.6228973692126912,COMPLETE
16,1.3789272747682784,0.3515048185519427,0.8741199498725835,COMPLETE
17,1.360723230609687,0.1685933392813974,0.61586698755422,COMPLETE
18,1.4115981773449953,0.5970069059512298,0.6934322888787011,COMPLETE
19,1.3833502847661192,0.3754624629493096,0.8542353195797912,COMPLETE
20,1.442262553805176,0.08592119275877982,0.3243472984310549,COMPLETE
21,1.3432492036212136,0.29948805972635084,0.5908207985205056,COMPLETE
22,1.3411821975924914,0.29278708380593516,0.576899252524399,COMPLETE
23,1.3466340516729105,0.19118483391354646,0.7178346954296255,COMPLETE
24,1.3626930157727324,0.41423945395430495,0.5780176392481499,COMPLETE
25,1.4604985877684913,0.11874584314111192,0.1715001435228677,COMPLETE
26,1.3431655585058133,0.22991628019934457,0.7987139301306101,COMPLETE
27,1.3503454123804775,0.31572837200057896,0.40775739771589953,COMPLETE
28,1.4956072963256954,0.010969209405232716,0.9201264719439467,COMPLETE
29,1.4193835143724038,0.5893310270328482,0.7566817423245112,COMPLETE
30,1.375944479458753,0.4390611659077277,0.6572179683930183,COMPLETE
31,1.341646523072197,0.22463264514490183,0.7927362525969583,COMPLETE
32,1.3477370587564532,0.26449990763757913,0.5176458459821235,COMPLETE
33,1.45188009565686,0.9869273523087517,0.7914570515587889,COMPLETE
34,1.3805907510886597,0.34615170036937026,0.9047812512595491,COMPLETE
35,1.3542342643586724,0.22471910661319078,0.5249414225599205,COMPLETE
36,1.3633342067176848,0.1352116625509036,0.7357616783904521,COMPLETE
37,1.3505544946198775,0.25881680160895043,0.8109157943863239,COMPLETE
38,1.4152092109930239,0.061617598522814426,0.6603824768071519,COMPLETE
39,1.3674822987407342,0.16544895478356914,0.5585146576888944,COMPLETE
40,1.3637289953387401,0.525011202420411,0.4462155057586643,COMPLETE
41,1.344591320033798,0.23466810162152496,0.8050078869879482,COMPLETE
42,1.3764424502334232,0.324915555407414,0.9240785424630273,COMPLETE
43,1.3659220513483452,0.127375980173409,0.7441154417115481,COMPLETE
44,1.3377375679347638,0.19890795073675285,0.8272901602872061,COMPLETE
45,1.3505531866898475,0.19458459950998946,0.6541386463280476,COMPLETE
46,1.4518659188850702,0.7969735392868371,0.9727588690818784,COMPLETE
47,1.3828520847534038,0.37719240053355907,0.8455265694793836,COMPLETE
48,1.3459495387258753,0.2711198126770784,0.7009184305259138,COMPLETE
49,1.4218166609445957,0.04176030930732738,0.8901946455387117,COMPLETE
