number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.7897309876914773,0.7184473730315136,0.03402737291167182,8,15,0.030544451427254482,526,124,9.789950752994116e-06,1.61668125090225e-06,0.8486653337527825,COMPLETE
1,1.6144233551738842,0.8673444769017811,0.012343620078920623,5,54,0.27864066035446894,639,102,0.11712177201578293,1.6532176599515465e-05,0.5977418558922472,COMPLETE
2,1.8036155838363184,0.9650188661794878,0.1679710167619475,3,30,0.1892032914591914,493,99,1.7020711252075814e-05,0.026067822546934582,0.501808207507089,COMPLETE
3,1.7787228089901725,0.9852710648368581,0.07376495805782218,9,37,0.3414067002557923,620,131,7.113436983948923e-05,9.568432415831854e-06,0.5173871474909496,COMPLETE
4,1.7263126407907639,0.9020204396872327,0.09149294725119486,4,74,0.20614600619205503,471,101,0.03231149277531741,2.3482894298683782e-07,0.801532101590865,COMPLETE
5,1.688923053759857,0.7811406212496561,0.025324580122500995,5,25,0.27101514686328504,732,85,2.5472906666746473e-06,0.0004904061737312383,0.5531596278982344,COMPLETE
6,1.7682251974073637,0.9696320663779362,0.0878214081421597,10,51,0.0058419250876629025,527,101,0.00014648803193186236,0.0004211408810871639,0.8764661278727769,COMPLETE
7,1.6445831417220684,0.5028140660279423,0.04957113095177294,5,98,0.07933019144206854,371,26,0.045964579826258546,0.030719784852286824,0.6697266958770397,COMPLETE
8,1.6428556199092241,0.8477023925849738,0.017480944723142672,9,94,0.24034316009900525,731,144,7.959902024650859e-05,7.543096083974117e-08,0.8359092035798346,COMPLETE
9,1.5910211150076774,0.7751399018537487,0.012204841886039184,6,27,0.4931939999101339,470,16,0.010468379827568004,0.00023363003873700207,0.6648149250535188,COMPLETE
10,1.817446428123972,0.6634666733478387,0.2840765433455716,13,8,0.4888023421099997,968,10,7.488174726010925e-08,0.002401261294410663,0.9905102950315379,COMPLETE
11,1.579331508159748,0.8123586809283958,0.014292906819632642,7,59,0.4971944168460845,314,46,0.7470337444294849,2.090720992713841e-05,0.631448986837167,COMPLETE
12,1.567429799875663,0.6212978519506824,0.011553046944171584,7,59,0.47529949792827114,323,48,0.7416863198788176,3.2070588831481536e-05,0.6700760926809588,COMPLETE
13,1.5539692833003071,0.5843333133232764,0.010052543436719644,12,69,0.4106326878788127,304,48,0.4148771762339123,1.0075206671794827e-05,0.69907669433641,COMPLETE
14,1.6219013764786876,0.5720395783125342,0.02452861706543232,15,75,0.393805040631659,329,53,0.0022637095616003214,1.198641931556768e-06,0.7364594657268578,COMPLETE
15,1.6079531941344403,0.6512504638331504,0.01998023118410727,12,73,0.40468208235267145,394,55,0.7736148715790373,1.2056456695002569e-08,0.7317236228912128,COMPLETE
16,1.6469513315250757,0.5734345086995887,0.011325615496872131,11,85,0.40167012854935263,918,67,0.0006666703359130645,5.1842324282408946e-05,0.7077093762893454,COMPLETE
17,1.6724882323703592,0.6062407544429209,0.0374192322589016,16,62,0.3400769689856449,409,36,0.004532574109868319,0.44905233621297524,0.7873634249221342,COMPLETE
18,1.632010817064674,0.5179783865213372,0.017815299550112868,14,45,0.43234428053796486,842,77,0.19698760497650045,2.4949441325782012e-06,0.91805179892378,COMPLETE
19,1.5883043586652865,0.6948408707400286,0.010666795548022983,11,70,0.33460411565780496,577,36,8.068670709313247e-08,0.004600387285765738,0.5876632369347272,COMPLETE
20,1.665973676721349,0.6184100444235776,0.03222940303346477,7,82,0.447167297430852,411,67,5.467923121318915e-07,1.8596802644531233e-07,0.6817965131771213,COMPLETE
21,1.5623449441986021,0.8043935572366336,0.016012060121504527,7,61,0.4944768633687933,316,45,0.7730429588468722,5.931963165411718e-05,0.6256040010941024,COMPLETE
22,1.538065774446231,0.7325870552795736,0.015476723977581383,8,62,0.453495924911914,323,41,0.9654737596506985,8.424325582399346e-05,0.6185849981799251,COMPLETE
23,1.6198664136551988,0.7416212788427574,0.016627643375045475,10,64,0.4406837218652927,304,30,0.13307775142798514,0.00017011243268304335,0.6066494719185058,COMPLETE
24,1.6624410418952227,0.912115293153141,0.022634654994653537,8,84,0.3650471974963467,369,62,0.01031164137526726,7.203112652804818e-06,0.556294130907056,COMPLETE
25,1.6958930985868008,0.8241934679400018,0.048278001244247984,12,45,0.45390184039057885,713,43,0.21811934922371481,0.0008047818919783436,0.6316969385590211,COMPLETE
26,1.605768197994425,0.6991126103186612,0.01005133219410823,8,68,0.37949947367941145,436,24,0.03790375960312689,9.845021761595373e-05,0.7649419020080164,COMPLETE
27,1.5956864141397087,0.7887938057657721,0.01522622554987029,11,49,0.30951445103253034,359,81,1.3404196534381056e-08,4.2493806099119985e-06,0.7069655806182145,COMPLETE
28,1.6518687639887382,0.752937807734783,0.02816666095850079,13,37,0.12875639303154024,440,39,0.0006449097181182134,5.395992533645416e-07,0.6434543095460371,COMPLETE
29,1.6370631817289436,0.7270021268166438,0.02070744517163703,9,80,0.42168373748155563,535,22,0.31539913092320815,0.004612210551361205,0.5465687529492426,COMPLETE
