number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.4398303114205613,0.507788638017072,0.014184386770399496,16,99,0.44639649003606036,998,77,2.66995621114032e-08,1.2256032646254935e-08,0.6108476348904197,COMPLETE
1,1.5414553996571199,0.5951989574898121,0.24349817475692048,14,72,0.3953325567320506,351,86,0.2411031622670804,0.0277828185876585,0.9293839843169942,COMPLETE
2,1.4998087204163506,0.5700707868190846,0.037269311877968794,6,75,0.024033370707235657,528,127,0.0009399917061341311,6.11864391279131e-08,0.6450352642656876,COMPLETE
3,1.4772173612676491,0.8839230362570794,0.027494312621746016,12,9,0.2074554543529491,315,131,0.0460763584750537,0.7074747363993806,0.9549489887869251,COMPLETE
4,1.448722741966672,0.6126830407868165,0.02220854921669901,12,27,0.05729296337825418,876,69,9.768291875330209e-05,1.0625551837043655e-05,0.6746511685693442,COMPLETE
5,1.3981813933072804,0.6038907556675287,0.010959436562652265,8,24,0.1764587747680893,783,133,2.0963323201103314e-05,1.4840346647930893e-06,0.9688519608927042,COMPLETE
6,1.4772149617259263,0.7631957482562877,0.03392499177175588,14,49,0.017701361058977294,519,79,1.1256540268064143e-06,0.007195798840610064,0.9446012969501506,COMPLETE
7,1.629698405492217,0.5385851947896831,0.204930487597363,9,65,0.11213196428727162,690,72,0.44349737224777136,2.0863914123098974e-06,0.9999225048832316,COMPLETE
8,1.3923844833638312,0.659684662212995,0.010143895600619774,10,96,0.14707947672477806,562,43,1.0671221942464439e-07,1.652674914087273e-06,0.7121823185322683,COMPLETE
9,1.4726815403358016,0.9053694749064278,0.07010114382479679,9,29,0.2580058923690832,333,91,0.6535987667802049,0.0055252731707829406,0.6577048543769919,COMPLETE
10,1.4922028348701446,0.7239085491190966,0.08770190353022668,4,95,0.317324713403079,507,18,1.58883008651667e-08,9.908892088123937e-05,0.7992828336846025,COMPLETE
11,1.380418256117076,0.7023581692963282,0.011133966495748823,7,42,0.16984482382333665,733,31,3.3304994157854056e-06,9.727174254870768e-07,0.5196830745167275,COMPLETE
12,1.4145637071043022,0.7106271175260518,0.016139564071062727,6,48,0.13575497193919392,652,26,9.94069444679948e-07,5.241881556957299e-07,0.532422561563751,COMPLETE
13,1.3878294336096448,0.8253066331140388,0.010125465756349107,3,85,0.2844021816600043,763,42,7.224738242756264e-07,3.5571680841736134e-05,0.5029257106775542,COMPLETE
14,1.4080901240851125,0.811331243956406,0.01887912694529917,3,58,0.31114318052028606,797,50,7.148098471348294e-06,0.00011744391306519503,0.500507755522063,COMPLETE
15,1.4573622536566901,0.9730850921572107,0.049928021442592334,5,80,0.2575094870138428,763,10,0.0016490529044662695,0.00018505273334575237,0.5687341437413305,COMPLETE
16,1.4946322324077415,0.8005060069898425,0.14566487896981833,7,39,0.33510248355393346,908,41,8.887772271686134e-07,3.863599753424982e-05,0.8362645326797727,COMPLETE
17,1.380138486271127,0.8594867102696055,0.013705220162328911,3,87,0.4972337777078537,693,106,7.923324235538243e-06,0.0005549518621157114,0.5777056522633378,COMPLETE
18,1.366550509583428,0.9997795623054531,0.015058933401023133,5,40,0.4684569461220754,616,107,0.0005644496509027946,0.0009232605580184939,0.580470251211777,COMPLETE
19,1.4334947365506234,0.9787565218378098,0.023952356854868483,4,60,0.4840106700259111,595,111,0.0019223807505308914,0.0011378991409730027,0.5872398677503976,COMPLETE
20,1.5023169158237535,0.9233584349991786,0.04584706348179634,5,10,0.3853395255249052,448,108,0.0002751190498968215,0.2059392961108539,0.7602923091937377,COMPLETE
21,1.4203682383134935,0.8532027993568446,0.01566817472470469,7,43,0.49765222080737537,695,147,1.6130891354380052e-05,0.0007088402738359108,0.5570491108796312,COMPLETE
22,1.3738217580642746,0.6676721966274294,0.014184665313838603,5,38,0.4277474812637242,626,100,8.356814646430273e-05,0.0011729422810816642,0.6175034958407303,COMPLETE
23,1.3653593529926011,0.9557325340835464,0.014581061469477734,3,32,0.43024821865262897,629,100,0.008559433409204929,0.0014332990668146505,0.6153379741657632,COMPLETE
24,1.426597738241121,0.9943115865703834,0.020218830436447476,5,34,0.4185510811230419,605,97,0.014458317327924656,0.029607324316841568,0.6239160170756282,COMPLETE
25,1.3962381089454459,0.9519636998402748,0.029843349713881202,4,19,0.3640253363977729,418,115,0.0074469514934290305,0.007774651495034,0.7236686822835957,COMPLETE
26,1.5310858362025666,0.6640879961590449,0.10306749907821855,6,18,0.4409278779087828,643,100,0.00012094762302446452,0.0023972082610810947,0.6956078843754405,COMPLETE
27,1.4135783348425213,0.9468760250942728,0.01900841311863577,4,34,0.44960116372551373,614,60,0.04983995870745151,0.04301935926538027,0.6176255240143329,COMPLETE
28,1.386959164421188,0.7558779360796049,0.013397992384515169,10,54,0.37392975087955976,443,120,0.0004490742067870524,9.171882390411128e-06,0.7416998203616866,COMPLETE
29,1.4174110950109398,0.9997632245723121,0.013968792215214175,8,35,0.4585662999249196,556,143,0.006461984722824999,0.0003112734880135792,0.6086574049908196,COMPLETE
