date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-01-24 00:00:00+00:00,12252.975,11900.092152503352,11398.620549629017,12403.384950128926
2026-01-24 01:00:00+00:00,12021.475,11465.126498102092,10964.567138690089,11968.973056981951
2026-01-24 02:00:00+00:00,11920.65,11341.274831848883,10840.531205652662,11844.938869224568
2026-01-24 03:00:00+00:00,11859.349999999999,11546.26768142313,11045.777623235685,12050.64575522024
2026-01-24 04:00:00+00:00,11882.75,11936.48486120493,11435.881415333652,12439.924977026958
2026-01-24 05:00:00+00:00,11954.9,12413.316687696484,11913.00047477595,12917.151706936877
2026-01-24 06:00:00+00:00,12541.625,12888.11052250075,12387.128044307614,13390.446868614916
2026-01-24 07:00:00+00:00,13344.775,13342.524440432133,12841.55935186405,13846.02636722136
2026-01-24 08:00:00+00:00,14077.6,13748.492384539975,13247.10839126914,14251.002364035427
2026-01-24 09:00:00+00:00,14448.325,14028.36687153859,13527.541781622504,14530.44147140134
2026-01-24 10:00:00+00:00,14896.8,14077.890069539699,13577.739183518313,14581.047056272311
2026-01-24 11:00:00+00:00,14721.7,13916.04441540204,13415.250238858023,14418.308688602976
2026-01-24 12:00:00+00:00,14210.175,13650.523212715329,13150.683888829151,14154.321564028462
2026-01-24 13:00:00+00:00,13837.575,13387.098230049825,12887.276957967633,13890.916189400255
2026-01-24 14:00:00+00:00,13693.45,13188.801638876668,12687.903763543178,13691.414051203035
2026-01-24 15:00:00+00:00,13948.625,13043.027004901627,12540.325328473178,13544.419039950375
2026-01-24 16:00:00+00:00,14412.175,12880.97755159524,12377.744681427117,13380.912691439276
2026-01-24 17:00:00+00:00,14546.475,12628.84886571071,12125.59212192709,13128.946432094865
2026-01-24 18:00:00+00:00,14105.55,12245.939341836187,11743.038453386725,12745.978909582253
2026-01-24 19:00:00+00:00,13500.6,11749.368110144896,11246.002906382586,12248.96694635501
2026-01-24 20:00:00+00:00,12862.05,11180.040575217412,10676.910554612268,11679.367848147926
2026-01-24 21:00:00+00:00,12508.5,10592.458457605215,10088.744244582065,11092.608205752384
2026-01-24 22:00:00+00:00,11919.975,10057.165383855445,9553.625094312609,10556.121392733861
2026-01-24 23:00:00+00:00,11425.2,9668.578597423477,9165.882618722517,10168.053698424006
2026-01-25 00:00:00+00:00,11103.725,9397.700388015892,8896.630151026078,9898.634062859926
2026-01-25 01:00:00+00:00,11018.55,9303.603400397093,8801.67850766972,9804.953595800936
2026-01-25 02:00:00+00:00,11073.35,9427.047468312845,8925.084000828063,9928.111749755804
2026-01-25 03:00:00+00:00,11099.125,9755.804641639419,9253.572763019394,10257.550061084738
2026-01-25 04:00:00+00:00,10929.0,10250.57079497911,9748.59170266088,10752.759894262774
2026-01-25 05:00:00+00:00,10864.8,10845.955509336925,10343.882418323494,11348.12878760116
2026-01-25 06:00:00+00:00,11336.025,11478.89749907477,10976.056350317762,11979.938977263331
2026-01-25 07:00:00+00:00,12146.275,12096.176066987453,11594.405730608134,12598.534640105905
2026-01-25 08:00:00+00:00,12946.225,12647.743960068568,12146.061279483763,13149.794608456654
2026-01-25 09:00:00+00:00,13558.575,13067.191763479475,12566.651936451983,13569.941972133067
2026-01-25 10:00:00+00:00,14224.95,13341.476330421528,12841.373360496986,13844.020396226528
2026-01-25 11:00:00+00:00,13988.65,13460.465930792207,12960.099085448148,13964.313520986218
2026-01-25 12:00:00+00:00,13649.0,13467.074846692414,12967.929685780953,13970.163416411327
2026-01-25 13:00:00+00:00,13439.875,13402.470510205372,12903.337936291575,13906.768319809684
2026-01-25 14:00:00+00:00,13465.8,13317.719170181137,12816.972864558114,13819.322907077176
2026-01-25 15:00:00+00:00,13705.375,13205.018229874091,12703.381009885203,13706.603332306353
2026-01-25 16:00:00+00:00,14347.275,13027.15978390774,12526.183388974361,13529.526819577834
2026-01-25 17:00:00+00:00,14398.725,12736.775082636108,12235.508736472639,13238.031635936042
2026-01-25 18:00:00+00:00,14089.2,12336.979341924054,11833.71819402383,12837.087747793405
2026-01-25 19:00:00+00:00,13561.7,11852.257576185997,11350.256650300578,12353.499619718996
2026-01-25 20:00:00+00:00,13086.25,11317.95438411291,10816.467536057451,11819.30711155115
2026-01-25 21:00:00+00:00,12874.45,10784.058790377283,10282.099525206346,11285.231392692156
2026-01-25 22:00:00+00:00,12455.975,10319.9498548478,9818.007157296302,10822.056378559391
2026-01-25 23:00:00+00:00,12062.75,9986.91289897792,9485.656668740223,10489.683308066902
2026-01-26 00:00:00+00:00,11661.075,9919.1351182921,9418.813377751429,10420.986158484293
2026-01-26 01:00:00+00:00,11579.8,10103.86450766131,9604.549174693459,10607.379035185333
2026-01-26 02:00:00+00:00,11854.075,10497.837414981113,9999.53807627006,11001.924621820259
2026-01-26 03:00:00+00:00,12094.475,11057.411703976575,10558.61687538904,11561.763191813037
2026-01-26 04:00:00+00:00,12640.575,11716.760243148283,11219.260703799022,12222.500165498945
2026-01-26 05:00:00+00:00,14042.75,12435.268769585276,11937.813741716102,12941.390641979777
