date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-01-24 00:00:00+00:00,12252.975,12072.753,11854.794948922647,12290.71028887588
2026-01-24 01:00:00+00:00,12021.475,12045.242,11827.284207729566,12263.1995476828
2026-01-24 02:00:00+00:00,11920.65,12104.732,11886.77513283962,12322.690472792854
2026-01-24 03:00:00+00:00,11859.349999999999,12325.054,12107.096496601742,12543.011836554975
2026-01-24 04:00:00+00:00,11882.75,12845.418,12627.460273361823,13063.375613315058
2026-01-24 05:00:00+00:00,11954.9,13829.213,13611.255025531105,14047.170365484339
2026-01-24 06:00:00+00:00,12541.625,14528.386,14310.42770926422,14746.343049217454
2026-01-24 07:00:00+00:00,13344.775,14985.701,14767.74336185274,15203.658701805973
2026-01-24 08:00:00+00:00,14077.6,15353.536,15135.578327548332,15571.493667501565
2026-01-24 09:00:00+00:00,14448.325,15635.788,15417.829801290663,15853.745141243897
2026-01-24 10:00:00+00:00,14896.8,15672.556,15454.59777272669,15890.513112679924
2026-01-24 11:00:00+00:00,14721.7,15408.073,15190.115871291939,15626.031211245172
2026-01-24 12:00:00+00:00,14210.175,14919.676,14701.717673912532,15137.633013865765
2026-01-24 13:00:00+00:00,13837.575,14483.026,14265.068178940204,14700.983518893438
2026-01-24 14:00:00+00:00,13693.45,14183.844,13965.886126563219,14401.801466516454
2026-01-24 15:00:00+00:00,13948.625,14319.265,14101.306888304858,14537.222228258091
2026-01-24 16:00:00+00:00,14412.175,14755.862,14537.90410244685,14973.819442400083
2026-01-24 17:00:00+00:00,14546.475,14796.6045,14578.646326220301,15014.561666173535
2026-01-24 18:00:00+00:00,14105.55,14485.202,14267.244198022003,14703.159537975236
2026-01-24 19:00:00+00:00,13500.6,13727.94,13509.982965625624,13945.898305578858
2026-01-24 20:00:00+00:00,12862.05,12898.254,12680.296189731951,13116.211529685184
2026-01-24 21:00:00+00:00,12508.5,12491.197,12273.239122231937,12709.15446218517
2026-01-24 22:00:00+00:00,11919.975,11916.249,11698.291459318312,12134.206799271546
2026-01-24 23:00:00+00:00,11425.2,11327.123,11109.165434111832,11545.080774065065
2026-01-25 00:00:00+00:00,11103.725,10826.378,10608.420010522112,11044.335350475345
2026-01-25 01:00:00+00:00,11018.55,10644.759,10426.8008952645,10862.716235217733
2026-01-25 02:00:00+00:00,11073.35,10532.0,10314.041941356189,10749.957281309422
2026-01-25 03:00:00+00:00,11099.125,10517.2,10299.242829443567,10735.1581693968
2026-01-25 04:00:00+00:00,10929.0,10570.311,10352.352936038013,10788.268275991248
2026-01-25 05:00:00+00:00,10864.8,10757.116,10539.158139184061,10975.073479137294
2026-01-25 06:00:00+00:00,11336.025,11326.792,11108.834402691267,11544.749742644502
2026-01-25 07:00:00+00:00,12146.275,12042.542,11824.58458476655,12260.499924719783
2026-01-25 08:00:00+00:00,12946.225,12907.658,12689.700488223716,13125.61582817695
2026-01-25 09:00:00+00:00,13558.575,13431.568,13213.610212301386,13649.52555225462
2026-01-25 10:00:00+00:00,14224.95,13800.275,13582.317585939727,14018.23292589296
2026-01-25 11:00:00+00:00,13988.65,13653.857,13435.899892498695,13871.815232451929
2026-01-25 12:00:00+00:00,13649.0,13411.847,13193.888746558583,13629.804086511816
2026-01-25 13:00:00+00:00,13439.875,13109.205,12891.247408022993,13327.162747976226
2026-01-25 14:00:00+00:00,13465.8,13111.687,12893.728588038386,13329.64392799162
2026-01-25 15:00:00+00:00,13705.375,13392.656,13174.698272205635,13610.61361215887
2026-01-25 16:00:00+00:00,14347.275,13898.334,13680.375965935204,14116.291305888439
2026-01-25 17:00:00+00:00,14398.725,14010.959,13793.000921802284,14228.916261755518
2026-01-25 18:00:00+00:00,14089.2,13568.012,13350.054314469877,13785.96965442311
2026-01-25 19:00:00+00:00,13561.7,13000.456,12782.498393801508,13218.413733754742
2026-01-25 20:00:00+00:00,13086.25,12545.642,12327.683697020728,12763.599036973961
2026-01-25 21:00:00+00:00,12874.45,12187.572,11969.614108508162,12405.529448461395
2026-01-25 22:00:00+00:00,12455.975,11868.573,11650.615405180968,12086.530745134201
2026-01-25 23:00:00+00:00,12062.75,11427.642,11209.683556140915,11645.598896094149
2026-01-26 00:00:00+00:00,11661.075,11093.191,10875.23326761445,11311.148607567684
2026-01-26 01:00:00+00:00,11579.8,10887.632,10669.673822500325,11105.589162453558
2026-01-26 02:00:00+00:00,11854.075,10904.378,10686.419770246104,11122.335110199338
2026-01-26 03:00:00+00:00,12094.475,11263.734,11045.776717378722,11481.692057331957
2026-01-26 04:00:00+00:00,12640.575,12131.962,11914.004012164798,12349.919352118031
2026-01-26 05:00:00+00:00,14042.75,13400.02,13182.061458888667,13617.976798841903
2026-01-26 06:00:00+00:00,15003.975,14583.005,14365.047083872703,14800.962423825937
2026-01-26 07:00:00+00:00,15617.7,15199.454,14981.496264379935,15417.411604333169
2026-01-26 08:00:00+00:00,16108.525,15463.029,15245.071661678241,15680.987001631474
2026-01-26 09:00:00+00:00,16444.5,15662.929,15444.970371474163,15880.885711427396
2026-01-26 10:00:00+00:00,16599.9,15796.818,15578.860668734684,16014.776008687917
2026-01-26 11:00:00+00:00,16619.175,15747.173,15529.215246862845,15965.130586816078
2026-01-26 12:00:00+00:00,16417.55,15291.812,15073.85376078913,15509.769100742364
2026-01-26 13:00:00+00:00,16020.55,14956.474,14738.515877306972,15174.431217260206
2026-01-26 14:00:00+00:00,15620.725,14879.37,14661.412790650244,15097.328130603477
2026-01-26 15:00:00+00:00,15648.0,15019.4,14801.44290316392,15237.358243117153
2026-01-26 16:00:00+00:00,15980.275000000001,15304.996,15087.03807696822,15522.953416921453
2026-01-26 17:00:00+00:00,15996.25,14869.675,14651.716742394405,15087.632082347638
2026-01-26 18:00:00+00:00,15738.325,14461.217,14243.25934421922,14679.174684172453
2026-01-26 19:00:00+00:00,14957.475,13605.948,13387.99087611791,13823.906216071144
2026-01-26 20:00:00+00:00,14091.125,12833.037,12615.079036198298,13050.994376151531
2026-01-26 21:00:00+00:00,13528.2,12271.461,12053.503474250554,12489.41881420379
2026-01-26 22:00:00+00:00,12807.625,11645.788,11427.830534597188,11863.745874550421
2026-01-26 23:00:00+00:00,12276.625,11062.499,10844.541493616834,11280.456833570068
2026-01-27 00:00:00+00:00,11888.05,10780.76,10562.801974222875,10998.717314176109
2026-01-27 01:00:00+00:00,11607.95,10745.1455,10527.187533846636,10963.10287379987
2026-01-27 02:00:00+00:00,12044.2,10866.82,10648.862301445002,11084.777641398236
2026-01-27 03:00:00+00:00,12291.25,11334.905,11116.947194192748,11552.862534145983
2026-01-27 04:00:00+00:00,12791.65,12124.881,11906.922744176658,12342.838084129891
2026-01-27 05:00:00+00:00,14236.15,13281.546,13063.587869262616,13499.503209215849
2026-01-27 06:00:00+00:00,15165.1,14392.513,14174.55460468619,14610.469944639424
2026-01-27 07:00:00+00:00,15522.375,14778.066,14560.108225706772,14996.023565660005
2026-01-27 08:00:00+00:00,15945.275,14895.446,14677.488464054913,15113.403804008147
2026-01-27 09:00:00+00:00,16221.2,14964.027,14746.06932075084,15181.984660704073
2026-01-27 10:00:00+00:00,16187.825,15062.824,14844.866906225687,15280.78224617892
2026-01-27 11:00:00+00:00,16057.1,14925.769,14707.81066372634,15143.726003679574
2026-01-27 12:00:00+00:00,15730.7,14697.197,14479.239555418051,14915.154895371286
2026-01-27 13:00:00+00:00,15527.8,14514.981,14297.023813597716,14732.93915355095
2026-01-27 14:00:00+00:00,15369.525000000001,14359.941,14141.98364738641,14577.898987339644
2026-01-27 15:00:00+00:00,15430.575,14647.487,14429.529350778188,14865.444690731421
2026-01-27 16:00:00+00:00,15985.1,15293.045,15075.087588385077,15511.00292833831
2026-01-27 17:00:00+00:00,15993.9,15157.576,14939.618182740429,15375.533522693662
2026-01-27 18:00:00+00:00,15634.825,14715.867,14497.909039931295,14933.82437988453
2026-01-27 19:00:00+00:00,14853.275,14127.235,13909.278034630319,14345.193374583554
2026-01-27 20:00:00+00:00,13863.375,13400.626,13182.66837113649,13618.583711089725
2026-01-27 21:00:00+00:00,13222.825,12876.837,12658.879233930531,13094.794573883766
2026-01-27 22:00:00+00:00,12590.375,12518.635,12300.676783916524,12736.592123869757
2026-01-27 23:00:00+00:00,11992.3,12005.218,11787.259652006465,12223.174991959699
2026-01-28 00:00:00+00:00,11613.825,11887.214,11669.256078410537,12105.171418363772
2026-01-28 01:00:00+00:00,11440.725,11937.194,11719.2368079339,12155.152147887133
2026-01-28 02:00:00+00:00,11599.05,11996.875,11778.917449948389,12214.832789901622
2026-01-28 03:00:00+00:00,11988.8,12324.107,12106.149929437699,12542.065269390934
2026-01-28 04:00:00+00:00,12734.75,13154.667,12936.70956789004,13372.624907843274
2026-01-28 05:00:00+00:00,14067.775,14416.262,14198.304194752458,14634.219534705691
2026-01-28 06:00:00+00:00,15111.95,15434.071,15216.113082446771,15652.028422400004
2026-01-28 07:00:00+00:00,15553.375,15857.035,15639.07681988469,16074.992159837926
2026-01-28 08:00:00+00:00,15812.75,16129.174,15911.216271808067,16347.131611761302
2026-01-28 09:00:00+00:00,15996.275,16263.251,16045.293416210054,16481.208756163287
2026-01-28 10:00:00+00:00,16059.65,16205.919,15987.961348430968,16423.876688384204
2026-01-28 11:00:00+00:00,15822.7,16125.726,15907.768010085423,16343.683350038656
2026-01-28 12:00:00+00:00,15637.525,15931.548,15713.590186976087,16149.50552692932
2026-01-28 13:00:00+00:00,15605.275,15711.359,15493.40151423444,15929.316854187673
2026-01-28 14:00:00+00:00,15608.725,15588.9795,15371.022091966319,15806.937431919552
2026-01-28 15:00:00+00:00,15585.575,15721.484,15503.526719914958,15939.442059868192
2026-01-28 16:00:00+00:00,15991.475,16021.174,15803.216350962124,16239.131690915357
2026-01-28 17:00:00+00:00,15956.65,16136.743,15918.785172193078,16354.700512146312
2026-01-28 18:00:00+00:00,15649.625,15866.625,15648.66694263211,16084.582282585343
2026-01-28 19:00:00+00:00,14996.074999999999,15193.848,14975.889486288259,15411.804826241492
2026-01-28 20:00:00+00:00,14088.175,14446.319,14228.362035268747,14664.277375221982
2026-01-28 21:00:00+00:00,13445.725,13774.697,13556.739303351464,13992.654643304697
2026-01-28 22:00:00+00:00,12613.45,13094.65,12876.693106781122,13312.608446734355
2026-01-28 23:00:00+00:00,12195.4,12502.847,12284.88933700258,12720.804676955813
2026-01-29 00:00:00+00:00,11934.425,12140.917,11922.959206958574,12358.874546911808
2026-01-29 01:00:00+00:00,11831.125,12094.329,11876.371361256592,12312.286701209825
2026-01-29 02:00:00+00:00,11821.475,12119.609,11901.651870419893,12337.567210373129
2026-01-29 03:00:00+00:00,12111.8,12526.053,12308.095206433347,12744.01054638658
2026-01-29 04:00:00+00:00,12720.3,13401.966,13184.008351548817,13619.92369150205
2026-01-29 05:00:00+00:00,14100.475,14509.362,14291.404078952433,14727.319418905668
2026-01-29 06:00:00+00:00,15253.125,15357.243,15139.28572034308,15575.201060296313
2026-01-29 07:00:00+00:00,15703.175,16017.213,15799.255282486265,16235.170622439498
2026-01-29 08:00:00+00:00,15907.800000000001,16099.001,15881.043413465039,16316.958753418272
2026-01-29 09:00:00+00:00,16132.8,16165.008,15947.050007536775,16382.965347490008
2026-01-29 10:00:00+00:00,16419.550000000003,16153.208,15935.250451437734,16371.165791390968
2026-01-29 11:00:00+00:00,16361.324999999999,16132.858,15914.900479191101,16350.815819144334
2026-01-29 12:00:00+00:00,16218.825,15971.77,15753.811875525753,16189.727215478986
2026-01-29 13:00:00+00:00,16036.5,15989.671,15771.712831833047,16207.62817178628
2026-01-29 14:00:00+00:00,15889.525,16026.539,15808.581273386506,16244.49661333974
2026-01-29 15:00:00+00:00,15773.825,16151.377,15933.4192585282,16369.334598481433
2026-01-29 16:00:00+00:00,16223.05,16481.062,16263.104902327084,16699.02024228032
2026-01-29 17:00:00+00:00,16202.55,16122.464,15904.506140888327,16340.421480841562
2026-01-29 18:00:00+00:00,16066.65,15884.123,15666.165109237854,16102.080449191088
2026-01-29 19:00:00+00:00,15291.900000000001,15199.685,14981.72698195729,15417.642321910524
2026-01-29 20:00:00+00:00,14655.975,14507.134,14289.175779040299,14725.091118993534
2026-01-29 21:00:00+00:00,14020.575,13824.961,13607.003002869023,14042.918342822257
2026-01-29 22:00:00+00:00,13320.2,13081.3545,12863.396500470788,13299.311840424021
2026-01-29 23:00:00+00:00,12720.525,12535.119,12317.161384337609,12753.076724290842
2026-01-30 00:00:00+00:00,12410.275,12164.994,11947.036631927247,12382.95197188048
2026-01-30 01:00:00+00:00,12401.525,12020.131,11802.173668091848,12238.089008045083
2026-01-30 02:00:00+00:00,12490.925,11990.376,11772.418374467637,12208.333714420873
2026-01-30 03:00:00+00:00,12662.2,12162.656,11944.698940060332,12380.614280013566
2026-01-30 04:00:00+00:00,13269.425,12745.899,12527.942121660162,12963.857461613396
2026-01-30 05:00:00+00:00,14390.349999999999,13908.157,13690.199306647517,14126.11464660075
2026-01-30 06:00:00+00:00,15482.075,14907.307,14689.348711378736,15125.26405133197
2026-01-30 07:00:00+00:00,16044.675,15401.108,15183.15070084334,15619.066040796573
2026-01-30 08:00:00+00:00,16254.65,15724.2295,15506.271690815594,15942.187030768828
2026-01-30 09:00:00+00:00,16579.375,15919.02,15701.061881563744,16136.977221516978
2026-01-30 10:00:00+00:00,16712.3,16045.57,15827.61195024499,16263.527290198223
2026-01-30 11:00:00+00:00,16588.45,16082.516,15864.558131120079,16300.473471073312
2026-01-30 12:00:00+00:00,16187.5,15791.313,15573.35526999227,16009.270609945503
2026-01-30 13:00:00+00:00,15814.15,15731.024,15513.066380295704,15948.98172024894
2026-01-30 14:00:00+00:00,15642.974999999999,15697.792,15479.833956838187,15915.74929679142
2026-01-30 15:00:00+00:00,15606.15,15734.656,15516.6983068484,15952.613646801634
2026-01-30 16:00:00+00:00,16031.2,15905.659,15687.701629025174,16123.616968978407
2026-01-30 17:00:00+00:00,15994.45,15794.914,15576.955828046763,16012.871167999996
2026-01-30 18:00:00+00:00,15524.099999999999,15600.726,15382.768003387275,15818.683343340508
2026-01-30 19:00:00+00:00,14802.65,14973.351,14755.392583955583,15191.307923908817
2026-01-30 20:00:00+00:00,13943.325,14265.691,14047.733812226985,14483.649152180218
2026-01-30 21:00:00+00:00,13194.85,13676.476,13458.517716242153,13894.433056195387
2026-01-30 22:00:00+00:00,12557.5,13048.902,12830.944197925077,13266.85953787831
2026-01-30 23:00:00+00:00,12050.3,12521.067,12303.109888298803,12739.025228252036
2026-01-31 00:00:00+00:00,11823.0,11805.222,11587.264251087916,12023.17959104115
2026-01-31 01:00:00+00:00,11587.025,11639.394,11421.435566161195,11857.350906114429
2026-01-31 02:00:00+00:00,11555.875,11676.875,11458.91711410433,11894.832454057563
2026-01-31 03:00:00+00:00,11552.4,12049.827,11831.869577512034,12267.784917465267
2026-01-31 04:00:00+00:00,11669.8,12542.252,12324.293853443285,12760.20919339652
