date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-01-24 00:00:00+00:00,12252.975,12058.014,11849.535496797542,12266.492417424317
2026-01-24 01:00:00+00:00,12021.475,12053.341,11844.862274955009,12261.819195581782
2026-01-24 02:00:00+00:00,11920.65,11989.041,11780.562187199073,12197.519107825847
2026-01-24 03:00:00+00:00,11859.349999999999,12222.594,12014.114925721977,12431.07184634875
2026-01-24 04:00:00+00:00,11882.75,11454.27,11245.790780183097,11662.747700809872
2026-01-24 05:00:00+00:00,11954.9,11907.366,11698.887594809323,12115.844515436098
2026-01-24 06:00:00+00:00,12541.625,12583.893,12375.413776806214,12792.370697432987
2026-01-24 07:00:00+00:00,13344.775,13589.011,13380.53228453198,13797.489205158754
2026-01-24 08:00:00+00:00,14077.6,14371.131,14162.651967690106,14579.60888831688
2026-01-24 09:00:00+00:00,14448.325,14578.525,14370.046736038657,14787.003656665433
2026-01-24 10:00:00+00:00,14896.8,14852.799,14644.320157713672,15061.277078340445
2026-01-24 11:00:00+00:00,14721.7,14727.179,14518.700488180853,14935.657408807627
2026-01-24 12:00:00+00:00,14210.175,14466.541,14258.062959547462,14675.019880174237
2026-01-24 13:00:00+00:00,13837.575,13977.726,13769.246786626049,14186.203707252822
2026-01-24 14:00:00+00:00,13693.45,13930.581,13722.102079593018,14139.059000219793
2026-01-24 15:00:00+00:00,13948.625,13850.934,13642.455499327469,14059.412419954242
2026-01-24 16:00:00+00:00,14412.175,14344.74,14136.261794975157,14553.218715601932
2026-01-24 17:00:00+00:00,14546.475,14648.521,14440.042879774268,14856.999800401041
2026-01-24 18:00:00+00:00,14105.55,14284.313,14075.834659083768,14492.791579710542
2026-01-24 19:00:00+00:00,13500.6,13963.791,13755.312473373073,14172.269393999846
2026-01-24 20:00:00+00:00,12862.05,13101.246,12892.767405983184,13309.724326609958
2026-01-24 21:00:00+00:00,12508.5,12858.45,12649.971289063527,13066.9282096903
2026-01-24 22:00:00+00:00,11919.975,12336.852,12128.37284846177,12545.329769088543
2026-01-24 23:00:00+00:00,11425.2,11860.471,11651.992433717132,12068.949354343906
2026-01-25 00:00:00+00:00,11103.725,11077.501,10869.022838651807,11285.979759278582
