date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-02-28 00:00:00+00:00,,15410.704310399278,14496.192269294901,16325.745562012467
2026-02-28 01:00:00+00:00,,14557.930049173523,13644.206994125503,15472.432218798764
2026-02-28 02:00:00+00:00,,14619.51701935081,13704.769759557357,15534.376201307927
2026-02-28 03:00:00+00:00,,15441.675437345042,14524.99953134398,16354.629330575863
2026-02-28 04:00:00+00:00,,16608.656918926335,15694.008808825178,17522.94228362273
2026-02-28 05:00:00+00:00,,17850.71785854225,16932.343038078863,18766.521195858488
2026-02-28 06:00:00+00:00,,19083.812161557544,18166.527247844773,20000.538991206857
2026-02-28 07:00:00+00:00,,20093.587997474217,19176.18505901348,21007.88064333426
2026-02-28 08:00:00+00:00,,20681.999370425186,19767.25353402604,21597.64036289131
2026-02-28 09:00:00+00:00,,20888.43926260038,19975.095822535335,21801.222295609135
2026-02-28 10:00:00+00:00,,20701.582542991735,19790.394655903587,21615.505119556634
2026-02-28 11:00:00+00:00,,20230.285268265936,19318.506420651793,21145.60087726796
2026-02-28 12:00:00+00:00,,19725.157059010096,18811.267130366843,20640.60950710356
2026-02-28 13:00:00+00:00,,19397.5006866493,18485.131222301163,20313.635811458513
2026-02-28 14:00:00+00:00,,19296.53146883352,18382.373889508955,20212.446117716638
2026-02-28 15:00:00+00:00,,19237.842395985783,18325.865276139873,20157.306736920014
2026-02-28 16:00:00+00:00,,19104.483911407515,18190.21067655584,20019.117922355967
2026-02-28 17:00:00+00:00,,18835.85983373013,17922.216199866067,19752.005901179095
2026-02-28 18:00:00+00:00,,18363.675558345254,17451.622713793266,19278.029441051116
2026-02-28 19:00:00+00:00,,17621.877088739566,16707.66371616445,18537.25358987773
2026-02-28 20:00:00+00:00,,16694.546435054028,15780.319554114056,17612.813476391766
2026-02-28 21:00:00+00:00,,15680.309961064297,14768.160117159276,16594.749124043024
2026-02-28 22:00:00+00:00,,14737.791322861141,13823.550158310783,15650.28880512021
2026-02-28 23:00:00+00:00,,13984.781007968477,13071.61669220557,14898.662771833364
2026-03-01 00:00:00+00:00,,13533.272111418933,12617.395727149455,14445.931266027519
2026-03-01 01:00:00+00:00,,13470.39097914303,12556.625805980559,14384.563551849154
2026-03-01 02:00:00+00:00,,13808.039872962256,12894.815800096221,14722.976125507792
2026-03-01 03:00:00+00:00,,14527.044919304642,13612.061968589329,15440.57224029561
2026-03-01 04:00:00+00:00,,15499.679072415563,14586.522857563234,16413.491192707326
2026-03-01 05:00:00+00:00,,16618.49599520129,15705.675500277379,17532.081900736444
2026-03-01 06:00:00+00:00,,17742.93323418293,16829.53150225407,18656.617346533247
2026-03-01 07:00:00+00:00,,18704.305478819508,17792.05585417094,19618.816406029575
2026-03-01 08:00:00+00:00,,19286.859404815725,18373.18356573479,20202.659132069617
2026-03-01 09:00:00+00:00,,19497.295686041165,18583.04042183591,20410.334280514497
2026-03-01 10:00:00+00:00,,19486.944320063958,18573.47336983911,20400.13409472591
2026-03-01 11:00:00+00:00,,19333.33537455748,18419.645099482208,20245.937624100414
2026-03-01 12:00:00+00:00,,19153.07599700117,18239.350107862305,20065.54521173311
2026-03-01 13:00:00+00:00,,18994.78140329722,18081.776690470007,19907.867456537573
2026-03-01 14:00:00+00:00,,18886.45227829414,17973.31772162382,19801.67814011634
2026-03-01 15:00:00+00:00,,18859.03246640856,17945.83553304122,19773.420846888337
2026-03-01 16:00:00+00:00,,18941.06782855156,18028.148368085538,19855.347710645805
