date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-01-24 00:00:00+00:00,18500.8838175,18058.9993258383,17143.762295842782,18972.762459864043
2026-01-24 01:00:00+00:00,17915.7650025,17647.46905569876,16732.116461919974,18562.98330968799
2026-01-24 02:00:00+00:00,17901.790395,17806.196013038538,16890.80741920991,18722.31547074303
2026-01-24 03:00:00+00:00,17764.24184,18414.6990803098,17500.60512393617,19330.15521935127
2026-01-24 04:00:00+00:00,18058.4610625,19350.33895301588,18436.00603595823,20266.20545208457
2026-01-24 05:00:00+00:00,18590.5267375,20394.16366102202,19479.599981731073,21310.64592887936
2026-01-24 06:00:00+00:00,19565.5508375,21424.49646169488,20510.905852439777,22338.60558343644
2026-01-24 07:00:00+00:00,20887.838765,22341.570677376585,21428.02689562953,23255.090886259815
2026-01-24 08:00:00+00:00,21854.965185,23058.045006312957,22143.716641101782,23971.135073477173
2026-01-24 09:00:00+00:00,22204.0791025,23410.14727308338,22496.284988741485,24322.877318004448
2026-01-24 10:00:00+00:00,22438.44491,23405.909638889127,22490.87117591964,24317.361228209105
2026-01-24 11:00:00+00:00,21955.8453025,23092.556191091153,22177.928116388117,24006.223608412824
2026-01-24 12:00:00+00:00,21431.0044075,22692.498226910146,21778.11307019966,23608.677719667536
2026-01-24 13:00:00+00:00,21272.99729,22366.481118618256,21450.68608483462,23283.761689792093
2026-01-24 14:00:00+00:00,21140.576,22212.24989286772,21297.439291159513,23128.50849323661
2026-01-24 15:00:00+00:00,21841.78159,22155.685097710346,21241.24686512059,23069.650452435424
2026-01-24 16:00:00+00:00,22502.5476125,22061.347388407692,21145.106106345447,22975.586023621443
2026-01-24 17:00:00+00:00,22863.9140025,21793.46444786899,20878.136608932717,22706.924755984684
2026-01-24 18:00:00+00:00,22331.2521075,21237.331168037694,20321.86888140705,22151.684281963648
2026-01-24 19:00:00+00:00,21169.69799,20462.51775683392,19546.584955751936,21375.978094035396
2026-01-24 20:00:00+00:00,20394.303755,19548.82736342501,18635.756698706653,20464.696841052464
2026-01-24 21:00:00+00:00,19743.3544675,18532.58156374041,17617.689538521718,19447.228345983905
2026-01-24 22:00:00+00:00,18661.0785125,17536.08345138443,16622.56185416187,18448.88713118484
2026-01-24 23:00:00+00:00,17920.4003025,16744.988972219384,15828.976895018222,17657.924005307137
2026-01-25 00:00:00+00:00,17537.8685375,16256.022091512374,15342.87601702293,17168.705383743258
2026-01-25 01:00:00+00:00,16909.713037499998,16155.019056609413,15241.712661019834,17068.469523519194
2026-01-25 02:00:00+00:00,16874.186357500002,16513.50337533868,15601.447175265399,17427.97597656231
2026-01-25 03:00:00+00:00,17006.9828925,17209.433117408604,16296.58149584004,18123.930294752317
2026-01-25 04:00:00+00:00,16834.0791225,18151.337231757545,17237.876284211678,19065.483651915685
2026-01-25 05:00:00+00:00,17078.194885,19223.70328415165,18309.89667270487,20139.065582021056
2026-01-25 06:00:00+00:00,17605.3803675,20357.567630875885,19442.608870226217,21271.542345023772
2026-01-25 07:00:00+00:00,18869.5880525,21454.567372743644,20540.46551229632,22367.734944244825
2026-01-25 08:00:00+00:00,20588.00814,22385.082312564078,21470.977475917352,23297.19816369189
2026-01-25 09:00:00+00:00,21857.89563,23055.917607968127,22142.082747203192,23969.15572443743
2026-01-25 10:00:00+00:00,22259.15544,23457.63197350678,22544.833260034233,24372.68877512968
2026-01-25 11:00:00+00:00,21869.26725,23647.10057209824,22733.46033969291,24559.99018968451
2026-01-25 12:00:00+00:00,21454.132515,23726.595258015386,22811.756265717217,24639.561678040875
2026-01-25 13:00:00+00:00,21154.1455475,23707.38796797004,22791.812607364565,24619.30679930625
2026-01-25 14:00:00+00:00,21111.8219325,23586.381889840737,22670.968274102957,24499.77918355914
2026-01-25 15:00:00+00:00,21287.84699,23369.77179560925,22454.043481548855,24283.102716100053
2026-01-25 16:00:00+00:00,22570.23718,23031.451338993953,22114.98581403787,23945.79312880719
