date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-01-24 00:00:00+00:00,18500.8838175,18573.64,18179.246629288864,18968.033571654378
2026-01-24 01:00:00+00:00,17915.7650025,18230.045,17835.651372379256,18624.43831474477
2026-01-24 02:00:00+00:00,17901.790395,17990.65,17596.257783164827,18385.044725530337
2026-01-24 03:00:00+00:00,17764.24184,18063.863,17669.469994473133,18458.256936838647
2026-01-24 04:00:00+00:00,18058.4610625,18211.705,17817.311313481925,18606.09825584744
2026-01-24 05:00:00+00:00,18590.5267375,19368.861,18974.4682039369,19763.255146302414
2026-01-24 06:00:00+00:00,19565.5508375,21376.615,20982.22180496736,21771.008747332875
2026-01-24 07:00:00+00:00,20887.838765,22761.81,22367.41687853032,23156.203820895833
2026-01-24 08:00:00+00:00,21854.965185,23507.67,23113.276242968786,23902.0631853343
2026-01-24 09:00:00+00:00,22204.0791025,23965.162,23570.768757979553,24359.555700345067
2026-01-24 10:00:00+00:00,22438.44491,24046.8,23652.407986621623,24441.194928987137
2026-01-24 11:00:00+00:00,21955.8453025,23950.084,23555.691214043414,24344.478156408928
2026-01-24 12:00:00+00:00,21431.0044075,23564.543,23170.14866692655,23958.935609292064
2026-01-24 13:00:00+00:00,21272.99729,23259.324,22864.93157065804,23653.718513023552
2026-01-24 14:00:00+00:00,21140.576,23070.348,22675.954503316618,23464.74144568213
2026-01-24 15:00:00+00:00,21841.78159,23288.076,22893.683169051135,23682.470111416646
2026-01-24 16:00:00+00:00,22502.5476125,24022.973,23628.57817065211,24417.365113017622
2026-01-24 17:00:00+00:00,22863.9140025,23905.506,23511.112879460947,24299.89982182646
2026-01-24 18:00:00+00:00,22331.2521075,23568.559,23174.164161967696,23962.95110433321
2026-01-24 19:00:00+00:00,21169.69799,22609.807,22215.412189718852,23004.199132084363
2026-01-24 20:00:00+00:00,20394.303755,21542.896,21148.503012043468,21937.28995440898
2026-01-24 21:00:00+00:00,19743.3544675,20500.44,20106.046548473634,20894.833490839148
2026-01-24 22:00:00+00:00,18661.0785125,19426.52,19032.12600386103,19820.912946226545
2026-01-24 23:00:00+00:00,17920.4003025,18338.178,17943.784754369324,18732.571696734838
2026-01-25 00:00:00+00:00,17537.8685375,17879.348,17484.95468796819,18273.741630333705
2026-01-25 01:00:00+00:00,16909.713037499998,17433.965,17039.57195465893,17828.358897024445
2026-01-25 02:00:00+00:00,16874.186357500002,17163.297,16768.90312749962,17557.690069865133
2026-01-25 03:00:00+00:00,17006.9828925,17055.387,16660.99412440285,17449.781066768363
2026-01-25 04:00:00+00:00,16834.0791225,17217.303,16822.908864388366,17611.69580675388
2026-01-25 05:00:00+00:00,17078.194885,17583.604,17189.21004920799,17977.996991573502
2026-01-25 06:00:00+00:00,17605.3803675,18485.35,18090.95652516564,18879.743467531152
2026-01-25 07:00:00+00:00,18869.5880525,20078.504,19684.111259994534,20472.898202360047
2026-01-25 08:00:00+00:00,20588.00814,21361.643,20967.24872530496,21756.03566767047
2026-01-25 09:00:00+00:00,21857.89563,22331.703,21937.310350700664,22726.097293066174
2026-01-25 10:00:00+00:00,22259.15544,22690.748,22296.355255681763,23085.142198047273
2026-01-25 11:00:00+00:00,21869.26725,22777.332,22382.93899370773,23171.725936073242
2026-01-25 12:00:00+00:00,21454.132515,22898.002,22503.608387584885,23292.395329950396
2026-01-25 13:00:00+00:00,21154.1455475,22812.26,22417.867141965024,23206.654084330537
2026-01-25 14:00:00+00:00,21111.8219325,22766.912,22372.517685606213,23161.304627971727
2026-01-25 15:00:00+00:00,21287.84699,22754.367,22359.97359966744,23148.76054203295
2026-01-25 16:00:00+00:00,22570.23718,23508.748,23114.35517550591,23903.142117871423
2026-01-25 17:00:00+00:00,23083.591582499997,23572.102,23177.707972902626,23966.494915268137
2026-01-25 18:00:00+00:00,22618.993674999998,23101.398,22707.004315731872,23495.791258097386
2026-01-25 19:00:00+00:00,21790.411215,22135.895,21741.500243316783,22530.287185682297
2026-01-25 20:00:00+00:00,21100.480190000002,21205.994,20811.601343345254,21600.388285710767
2026-01-25 21:00:00+00:00,20256.308505,20460.307,20065.913627264963,20854.700569630477
2026-01-25 22:00:00+00:00,19211.893955,19652.545,19258.151704665044,20046.938647030558
2026-01-25 23:00:00+00:00,18547.6395125,18782.773,18388.379202312415,19177.16614467793
2026-01-26 00:00:00+00:00,17919.8177975,18006.924,17612.53128354778,18401.318225913295
2026-01-26 01:00:00+00:00,17619.9870375,17603.594,17209.199606961956,17997.98654932747
2026-01-26 02:00:00+00:00,17413.5875925,17725.65,17331.25604317596,18120.04298554147
2026-01-26 03:00:00+00:00,17963.0514425,18210.223,17815.829974195698,18604.616916561212
2026-01-26 04:00:00+00:00,19886.8182575,19405.094,19010.70105913972,19799.488001505233
2026-01-26 05:00:00+00:00,23502.4683825,22043.053,21648.659414269005,22437.446356634515
2026-01-26 06:00:00+00:00,25343.629585,24440.727,24046.331997471967,24835.11893983748
2026-01-26 07:00:00+00:00,26586.81534,25485.244,25090.851132049804,25879.638074415314
2026-01-26 08:00:00+00:00,27295.0131325,25715.535,25321.14062990438,26109.927572269895
2026-01-26 09:00:00+00:00,27607.502485,25893.291,25498.897357065798,26287.684299431312
2026-01-26 10:00:00+00:00,27350.3163625,26133.059,25738.664396090862,26527.451338456376
2026-01-26 11:00:00+00:00,27402.81222,26115.787,25721.393501124905,26510.180443490415
2026-01-26 12:00:00+00:00,27052.8009625,26114.426,25720.033073254745,26508.820015620255
2026-01-26 13:00:00+00:00,26475.603985,26058.492,25664.098435448977,26452.88537781449
2026-01-26 14:00:00+00:00,26327.108005000002,25919.742,25525.349146562326,26314.136088927837
2026-01-26 15:00:00+00:00,26050.2833975,26052.254,25657.86008420146,26446.647026566974
2026-01-26 16:00:00+00:00,26094.5264075,26281.932,25887.538745157715,26676.325687523225
2026-01-26 17:00:00+00:00,26249.1211975,26094.973,25700.578795224013,26489.365737589527
2026-01-26 18:00:00+00:00,25726.528107500002,25534.898,25140.504755717637,25929.291698083147
2026-01-26 19:00:00+00:00,24717.52386,24592.762,24198.3689824902,24987.155924855713
2026-01-26 20:00:00+00:00,23319.08943,23356.838,22962.444584284523,23751.231526650037
2026-01-26 21:00:00+00:00,22325.698542500002,22092.55,21698.156540885535,22486.943483251045
2026-01-26 22:00:00+00:00,21133.5832275,20975.402,20581.00981614963,21369.796758515145
2026-01-26 23:00:00+00:00,20032.090625,19808.162,19413.768185933088,20202.5551282986
2026-01-27 00:00:00+00:00,19303.0263625,19320.346,18925.95157620261,19714.738518568123
2026-01-27 01:00:00+00:00,18800.117875,18974.758,18580.364844475374,19369.15178684089
2026-01-27 02:00:00+00:00,19143.6067275,18928.266,18533.872336644254,19322.659279009767
2026-01-27 03:00:00+00:00,19694.431924999997,19305.91,18911.517115531737,19700.30405789725
2026-01-27 04:00:00+00:00,20690.744085,20739.463,20345.06927954834,21133.856221913855
2026-01-27 05:00:00+00:00,23361.302785,23096.44,22702.0454524783,23490.832394843816
2026-01-27 06:00:00+00:00,25542.885295,24649.781,24255.388533612117,25044.17547597763
2026-01-27 07:00:00+00:00,26289.980705,25368.52,24974.125862584027,25762.91280494954
2026-01-27 08:00:00+00:00,26620.540647499998,25593.447,25199.053791396975,25987.84073376249
2026-01-27 09:00:00+00:00,26895.610125,25376.363,24981.96985364196,25770.75679600747
2026-01-27 10:00:00+00:00,26710.315365000002,25486.113,25091.71993988365,25880.50688224916
2026-01-27 11:00:00+00:00,26761.641215,25651.732,25257.338476643163,26046.125419008677
2026-01-27 12:00:00+00:00,25982.23704,25347.354,24952.95908815754,25741.74603052305
2026-01-27 13:00:00+00:00,25812.0433825,24760.777,24366.383818047976,25155.17076041349
2026-01-27 14:00:00+00:00,25894.604,24484.273,24089.880043186764,24878.666985552278
2026-01-27 15:00:00+00:00,26056.863117499997,24492.004,24097.61000072451,24886.396943090025
2026-01-27 16:00:00+00:00,26948.428392499998,24980.346,24585.95296884951,25374.73991121502
2026-01-27 17:00:00+00:00,26991.390135,25091.537,24697.142827963162,25485.929770328676
2026-01-27 18:00:00+00:00,26338.1311175,24626.6,24232.20583793371,25020.992780299224
2026-01-27 19:00:00+00:00,25077.163795,23425.992,23031.597939903717,23820.38488226923
2026-01-27 20:00:00+00:00,24104.62591,22189.797,21795.402811767253,22584.189754132767
2026-01-27 21:00:00+00:00,22375.809275,20930.271,20535.878060147534,21324.665002513048
2026-01-27 22:00:00+00:00,21046.2001225,19496.027,19101.634069516564,19890.421011882077
2026-01-27 23:00:00+00:00,20000.7187525,18248.44,17854.045557326812,18642.832499692326
2026-01-28 00:00:00+00:00,19378.28387,17512.254,17117.86025248981,17906.647194855323
2026-01-28 01:00:00+00:00,19004.9606,17425.824,17031.429821766324,17820.216764131837
2026-01-28 02:00:00+00:00,19100.9418775,17576.852,17182.458248080697,17971.24519044621
2026-01-28 03:00:00+00:00,19636.001295000002,18164.486,17770.09331223448,18558.880254599993
2026-01-28 04:00:00+00:00,20729.150804999997,19411.56,19017.16677967005,19805.95372203556
2026-01-28 05:00:00+00:00,23478.78562,22031.59,21637.19685253826,22425.983794903772
2026-01-28 06:00:00+00:00,25319.1056025,24134.35,23739.955826227328,24528.742768592838
2026-01-28 07:00:00+00:00,26095.0495025,25276.531,24882.137095188806,25670.92403755432
2026-01-28 08:00:00+00:00,26300.212062500003,25330.793,24936.40030461482,25725.187246980335
2026-01-28 09:00:00+00:00,26402.3402025,25373.012,24978.61782635461,25767.404768720124
2026-01-28 10:00:00+00:00,26573.462629999998,25489.732,25095.339507352965,25884.12644971848
2026-01-28 11:00:00+00:00,26849.8903575,25568.855,25174.462422897566,25963.249365263076
2026-01-28 12:00:00+00:00,26379.2716425,25308.38,24913.986737119754,25702.773679485264
2026-01-28 13:00:00+00:00,26474.6073025,25026.365,24631.970677585337,25420.75761995085
2026-01-28 14:00:00+00:00,26222.70441,24790.742,24396.348318428478,25185.13526079399
2026-01-28 15:00:00+00:00,26590.1348775,24790.014,24395.619859542552,25184.406801908062
2026-01-28 16:00:00+00:00,27108.0341325,25462.34,25067.94594451842,25856.732886883932
2026-01-28 17:00:00+00:00,26599.842872499998,25309.355,24914.962002820343,25703.748945185856
2026-01-28 18:00:00+00:00,26590.75908,25058.95,24664.555556618445,25453.342498983955
2026-01-28 19:00:00+00:00,25777.471077500002,24165.35,23770.956596254528,24559.74353862004
2026-01-28 20:00:00+00:00,24235.0414575,23277.69,22883.29535331219,23672.0822956777
2026-01-28 21:00:00+00:00,22462.4208275,22122.273,21727.880613949004,22516.667556314518
2026-01-28 22:00:00+00:00,20849.8230125,20943.832,20549.438081084307,21338.22502344982
2026-01-28 23:00:00+00:00,19930.48911,19817.82,19423.426346630302,20212.213288995816
2026-01-29 00:00:00+00:00,19328.76603,19225.084,18830.690300961232,19619.477243326746
2026-01-29 01:00:00+00:00,19328.374015,18990.383,18595.98954247312,19384.776484838632
2026-01-29 02:00:00+00:00,19513.600515000002,19167.113,18772.720428971268,19561.507371336782
2026-01-29 03:00:00+00:00,19831.2205575,19778.873,19384.479513583046,20173.26645594856
2026-01-29 04:00:00+00:00,21442.8388275,21041.207,20646.81393551169,21435.6008778772
2026-01-29 05:00:00+00:00,24211.939315,23630.56,23236.1664994593,24024.953441824815
2026-01-29 06:00:00+00:00,26401.923855,25101.322,24706.927781175822,25495.714723541336
2026-01-29 07:00:00+00:00,27575.1367,25867.793,25473.400099902552,26262.187042268066
2026-01-29 08:00:00+00:00,28105.3618375,26310.87,25916.475348982156,26705.26229134767
2026-01-29 09:00:00+00:00,28467.745235000002,26582.656,26188.263478937042,26977.050421302556
2026-01-29 10:00:00+00:00,28729.0008475,26701.06,26306.6661575616,27095.453099927116
2026-01-29 11:00:00+00:00,28888.3683325,26609.037,26214.642701648,27003.429644013515
2026-01-29 12:00:00+00:00,28629.1926375,26406.955,26012.56174745054,26801.348689816055
2026-01-29 13:00:00+00:00,28075.337392499998,26120.373,25725.978765048363,26514.765707413873
2026-01-29 14:00:00+00:00,27771.73339,25955.645,25561.251364364405,26350.03830672992
2026-01-29 15:00:00+00:00,27446.418745,26017.94,25623.545563872707,26412.33250623822
2026-01-29 16:00:00+00:00,27677.7668875,26412.328,26017.93487933163,26806.721821697145
2026-01-29 17:00:00+00:00,27800.412465,26017.514,25623.11973240573,26411.906674771242
2026-01-29 18:00:00+00:00,27642.992415,25600.383,25205.989102760857,25994.77604512637
2026-01-29 19:00:00+00:00,26223.6153525,24635.2,24240.80540074251,25029.592343108023
2026-01-29 20:00:00+00:00,24679.416245,23359.83,22965.435771237026,23754.22271360254
2026-01-29 21:00:00+00:00,23118.3112975,22052.43,21658.036278992477,22446.82322135799
2026-01-29 22:00:00+00:00,21701.6093175,20716.068,20321.674066855052,21110.461009220562
2026-01-29 23:00:00+00:00,20637.696605,19690.273,19295.879355906913,20084.666298272423
2026-01-30 00:00:00+00:00,19855.594182499997,19556.756,19162.36304931273,19951.149991678245
2026-01-30 01:00:00+00:00,19510.3971725,19193.432,18799.03794997856,19587.824892344073
2026-01-30 02:00:00+00:00,19566.31239,19534.479,19140.08459758393,19928.871539949443
2026-01-30 03:00:00+00:00,19918.92559,20406.86,20012.466594817324,20801.253537182834
2026-01-30 04:00:00+00:00,21109.9114525,21678.764,21284.370362874575,22073.157305240085
2026-01-30 05:00:00+00:00,23606.309365,23726.727,23332.3330403667,24121.119982732213
2026-01-30 06:00:00+00:00,25675.8515575,25360.076,24965.68219874863,25754.469141114143
2026-01-30 07:00:00+00:00,26609.2946975,25933.432,25539.037156170354,26327.824098535868
2026-01-30 08:00:00+00:00,26508.0439825,26033.293,25638.898622362853,26427.685564728366
