date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-02-28 00:00:00+00:00,,11587.599199298653,10953.310787110848,12218.354407119486
2026-02-28 01:00:00+00:00,,11205.074765490699,10571.26033280961,11836.510510423435
2026-02-28 02:00:00+00:00,,11450.738854021909,10819.879684965079,12084.024587397766
2026-02-28 03:00:00+00:00,,12271.630852347851,11638.731877319617,12904.862725594538
2026-02-28 04:00:00+00:00,,13404.592864079694,12770.518098892084,14037.87630314162
2026-02-28 05:00:00+00:00,,14491.540506844616,13858.918515146344,15122.749005653037
2026-02-28 06:00:00+00:00,,15408.524739148446,14774.20930270672,16041.603319349133
2026-02-28 07:00:00+00:00,,16133.746269784897,15499.451465990895,16765.24990272539
2026-02-28 08:00:00+00:00,,16660.58464718381,16029.078190967171,17293.96373379256
2026-02-28 09:00:00+00:00,,16824.114451651672,16190.79768304394,17457.674364734725
2026-02-28 10:00:00+00:00,,16687.301176344023,16056.385670744388,17319.7149029386
2026-02-28 11:00:00+00:00,,16356.255378252807,15723.14024141893,16988.071217605233
2026-02-28 12:00:00+00:00,,15986.681463877638,15353.44075476527,16617.862140915484
2026-02-28 13:00:00+00:00,,15672.736035242935,15039.004184058116,16305.270565335377
2026-02-28 14:00:00+00:00,,15498.751668659837,14865.094810488654,16132.129023283984
2026-02-28 15:00:00+00:00,,15501.42139105248,14869.27639518287,16132.871395808821
2026-02-28 16:00:00+00:00,,15538.865241288786,14905.770544942061,16171.43635228369
2026-02-28 17:00:00+00:00,,15467.15626192926,14834.17477367129,16099.0220859647
2026-02-28 18:00:00+00:00,,15173.644153018504,14540.114732458387,15805.092176037817
2026-02-28 19:00:00+00:00,,14640.297797034324,14006.155456888999,15270.807322811434
2026-02-28 20:00:00+00:00,,13906.59098990386,13273.111787664791,14537.805868827934
2026-02-28 21:00:00+00:00,,13111.654191958614,12477.023919664409,13745.618283678506
2026-02-28 22:00:00+00:00,,12418.177314470968,11782.50741352047,13051.047797524305
2026-02-28 23:00:00+00:00,,11953.664748787465,11319.475768535445,12585.444052475428
2026-03-01 00:00:00+00:00,,11537.285848219683,10901.968375373965,12169.773333745045
2026-03-01 01:00:00+00:00,,11317.137211921327,10683.095700802509,11948.904631728736
2026-03-01 02:00:00+00:00,,11448.94557009638,10814.959721496787,12080.371064174553
2026-03-01 03:00:00+00:00,,11988.51013083199,11354.994215570987,12621.129501065025
2026-03-01 04:00:00+00:00,,12853.91317270097,12220.148429443978,13483.951578071177
2026-03-01 05:00:00+00:00,,13862.323297705416,13227.549649468416,14491.960103546451
2026-03-01 06:00:00+00:00,,14898.579237061069,14265.096080953892,15529.206979322928
2026-03-01 07:00:00+00:00,,15831.236646474586,15197.025393659302,16462.723958842762
2026-03-01 08:00:00+00:00,,16493.73229789153,15859.635195197914,17126.756074112724
2026-03-01 09:00:00+00:00,,16800.110296451345,16167.174144467548,17433.524547452733
2026-03-01 10:00:00+00:00,,16815.078060281965,16181.861494892193,17445.973445892672
2026-03-01 11:00:00+00:00,,16628.075195338643,15993.080209390448,17257.820539471028
2026-03-01 12:00:00+00:00,,16358.82250298521,15724.16163316805,16989.507890386158
2026-03-01 13:00:00+00:00,,16143.732007912698,15508.225754771918,16775.13229198176
2026-03-01 14:00:00+00:00,,16007.852305056254,15373.110868375772,16638.96431780558
2026-03-01 15:00:00+00:00,,15956.676455271112,15321.52374344442,16588.62090257718
2026-03-01 16:00:00+00:00,,15951.941775576479,15317.513817264136,16582.63039118841
2026-03-01 17:00:00+00:00,,15884.169857423154,15249.428807369148,16514.794583494444
2026-03-01 18:00:00+00:00,,15612.384393269142,14975.330080199305,16244.277135613072
2026-03-01 19:00:00+00:00,,15076.183716960553,14439.649119998172,15708.418307526026
2026-03-01 20:00:00+00:00,,14324.998906344952,13688.486786095158,14955.902305006468
2026-03-01 21:00:00+00:00,,13520.604482387895,12884.160222674363,14152.184437505812
2026-03-01 22:00:00+00:00,,12827.387928096165,12192.934071253942,13458.064683610684
2026-03-01 23:00:00+00:00,,12380.187198390424,11744.232176691496,13010.695990886159
2026-03-02 00:00:00+00:00,,12207.104319262473,11573.191917179818,12837.623345495938
2026-03-02 01:00:00+00:00,,12397.97049645905,11762.930542338423,13028.82993050816
2026-03-02 02:00:00+00:00,,12984.132760025705,12350.83609532893,13615.340481917701
2026-03-02 03:00:00+00:00,,13919.01156596165,13286.116778498987,14551.796018707557
2026-03-02 04:00:00+00:00,,15086.222634986541,14452.957906295947,15718.91596532306
2026-03-02 05:00:00+00:00,,16337.304629022134,15704.350789821026,16969.750111430996
2026-03-02 06:00:00+00:00,,17531.510713238273,16898.645603347275,18163.898073176082
2026-03-02 07:00:00+00:00,,18523.413002284713,17889.549004222357,19155.3936793931
2026-03-02 08:00:00+00:00,,19150.591187292444,18518.36830377722,19782.93285560749
2026-03-02 09:00:00+00:00,,19367.748472748084,18736.413026447102,20001.88908240923
2026-03-02 10:00:00+00:00,,19284.253095370656,18653.93726542915,19918.648349702857
2026-03-02 11:00:00+00:00,,19062.174041249782,18430.51670037288,19695.743034622406
2026-03-02 12:00:00+00:00,,18811.079957883332,18177.64530841579,19444.69216278124
2026-03-02 13:00:00+00:00,,18628.10477831863,17996.288098501234,19260.979822080873
2026-03-02 14:00:00+00:00,,18545.62232803042,17913.034345897726,19178.447056190136
2026-03-02 15:00:00+00:00,,18559.626827807,17926.987955041506,19192.264486424276
2026-03-02 16:00:00+00:00,,18598.32482186402,17965.348407105437,19230.968699222623
2026-03-02 17:00:00+00:00,,18544.357771879884,17910.33419109581,19174.644101014717
2026-03-02 18:00:00+00:00,,18242.352150027862,17609.041557853332,18873.42702297367
2026-03-02 19:00:00+00:00,,17634.175681501772,17000.74127463739,18263.898110597773
2026-03-02 20:00:00+00:00,,16803.960241403234,16170.239794157196,17435.65638674063
2026-03-02 21:00:00+00:00,,15937.03208729303,15303.100136119961,16569.732744075805
2026-03-02 22:00:00+00:00,,15231.33861795087,14597.513712583603,15864.62990047571
2026-03-02 23:00:00+00:00,,14832.45027136161,14198.279385335933,15464.163659276355
2026-03-03 00:00:00+00:00,,14506.610637381435,13870.51560048064,15137.95294095848
2026-03-03 01:00:00+00:00,,14366.002616721491,13730.612465988823,14996.21307150289
2026-03-03 02:00:00+00:00,,14578.968824367177,13944.317746640007,15209.881996201657
2026-03-03 03:00:00+00:00,,15207.588706600203,14572.644780252824,15838.962412035233
2026-03-03 04:00:00+00:00,,16149.044796920167,15514.776891026084,16780.44621858238
2026-03-03 05:00:00+00:00,,17211.380454640675,16577.862078242262,17842.10727641618
2026-03-03 06:00:00+00:00,,18257.48059682839,17623.57245384907,18887.697173065928
2026-03-03 07:00:00+00:00,,19073.048327055534,18438.322679208366,19704.65883921065
2026-03-03 08:00:00+00:00,,19573.265132041364,18939.63114662831,20204.860617414208
2026-03-03 09:00:00+00:00,,19743.888562302753,19111.45853455891,20374.829045829276
2026-03-03 10:00:00+00:00,,19623.250001628072,18990.946473717348,20255.377464409477
2026-03-03 11:00:00+00:00,,19284.423370556968,18652.35592786976,19917.139009922976
2026-03-03 12:00:00+00:00,,18854.521658075082,18222.27514711223,19487.060311007026
2026-03-03 13:00:00+00:00,,18465.31464125863,17831.194461265135,19098.302324995926
2026-03-03 14:00:00+00:00,,18204.440509336473,17570.168449369845,18836.057583587764
2026-03-03 15:00:00+00:00,,18112.681706406358,17479.242348745964,18743.530547744987
2026-03-03 16:00:00+00:00,,18134.39280477729,17499.83427998621,18765.280105992384
2026-03-03 17:00:00+00:00,,18085.206084498936,17449.464218792276,18716.471371601783
2026-03-03 18:00:00+00:00,,17787.614194070113,17152.711179030248,18417.934735779785
2026-03-03 19:00:00+00:00,,17208.323578733856,16572.748215722382,17838.629505299723
2026-03-03 20:00:00+00:00,,16454.05616524052,15817.816803282352,17085.03295530129
2026-03-03 21:00:00+00:00,,15648.35088306178,15012.781720327923,16278.211121617609
2026-03-03 22:00:00+00:00,,14924.724999582302,14289.740634849377,15554.563039543245
2026-03-03 23:00:00+00:00,,14449.1915188431,13814.646845606465,15079.123396293642
2026-03-04 00:00:00+00:00,,14040.395898130353,13404.670556275081,14670.264578307271
2026-03-04 01:00:00+00:00,,13864.173023315341,13228.7364412842,14494.421589808191
2026-03-04 02:00:00+00:00,,14097.205594912417,13462.016707783858,14729.099120667188
2026-03-04 03:00:00+00:00,,14783.551560600174,14149.93992659369,15416.233340644058
2026-03-04 04:00:00+00:00,,15812.338464383154,15179.062660779391,16444.934177039046
2026-03-04 05:00:00+00:00,,16971.550487585282,16336.81123002741,17603.781903488347
2026-03-04 06:00:00+00:00,,18089.60723142483,17455.601165278018,18722.510978210725
2026-03-04 07:00:00+00:00,,18998.285863053163,18365.800707175593,19630.96431231346
2026-03-04 08:00:00+00:00,,19600.25206274328,18967.75352259977,20233.15990699636
