date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,15531.128526678496,14895.023853962583,16163.202993227027
2026-01-24 01:00:00+00:00,15178.943749999999,14950.799149885519,14314.757909566684,15581.602815035822
2026-01-24 02:00:00+00:00,14840.94125,14956.502182821137,14319.709641240786,15588.166924813106
2026-01-24 03:00:00+00:00,14917.98625,15490.790020851917,14855.029501063793,16121.225035146796
2026-01-24 04:00:00+00:00,15127.0665,16228.46541639884,15591.65445868992,16858.210916344375
2026-01-24 05:00:00+00:00,15755.87675,17015.121786941807,16378.212519387253,17644.73037722937
2026-01-24 06:00:00+00:00,16509.514000000003,17812.702869776822,17176.337957358555,18444.406978220202
2026-01-24 07:00:00+00:00,17411.12575,18607.180215267217,17971.15262663465,19238.701575270934
2026-01-24 08:00:00+00:00,18059.09175,19273.124630189155,18636.62340493715,19904.925703882396
2026-01-24 09:00:00+00:00,18467.146,19632.915421430986,18995.781459237976,20264.398032845118
2026-01-24 10:00:00+00:00,18462.941,19629.336215963343,18993.603813178615,20260.721658099348
2026-01-24 11:00:00+00:00,18117.68375,19296.97391872282,18662.676366698546,19928.87695307715
2026-01-24 12:00:00+00:00,17752.624499999998,18824.48129711939,18190.439352001686,19456.522308100015
2026-01-24 13:00:00+00:00,17461.9565,18322.77015022541,17688.82264980324,18954.817119343403
2026-01-24 14:00:00+00:00,17481.468249999998,17944.410290152442,17309.917526660538,18573.397954533986
2026-01-24 15:00:00+00:00,18018.08475,17691.858023875728,17056.294647609586,18322.80590671563
2026-01-24 16:00:00+00:00,19089.31875,17452.264946222782,16816.51008725064,18083.86454771993
2026-01-24 17:00:00+00:00,19392.22225,17050.430152711928,16414.78320223488,17682.07934501212
2026-01-24 18:00:00+00:00,18700.096250000002,16460.76001990064,15825.446290998514,17091.060501345706
2026-01-24 19:00:00+00:00,17581.14675,15749.840189180804,15114.102527427143,16381.632740369296
2026-01-24 20:00:00+00:00,16787.37775,14996.01217457311,14359.689128070386,15627.851650830613
2026-01-24 21:00:00+00:00,16364.8275,14248.86973338226,13611.930080332337,14880.640834377742
2026-01-24 22:00:00+00:00,15547.2235,13544.122488053406,12908.114469226966,14175.329932959541
2026-01-24 23:00:00+00:00,15111.115,13056.86334844949,12420.715153007,13687.053548836066
2026-01-25 00:00:00+00:00,14343.6545,12591.067886376284,11955.260234670772,13224.083692121909
2026-01-25 01:00:00+00:00,13686.711,12302.824675638089,11665.271574846964,12934.524099255337
2026-01-25 02:00:00+00:00,13368.06275,12363.294492881692,11726.71410933181,12994.459683136258
2026-01-25 03:00:00+00:00,13375.222249999999,12836.635571042174,12200.107781619832,13467.897411442906
2026-01-25 04:00:00+00:00,13465.33575,13636.380318396012,13000.987923224904,14266.518833696011
2026-01-25 05:00:00+00:00,13851.75325,14616.427237314449,13980.686517307098,15245.721899033284
2026-01-25 06:00:00+00:00,14710.34775,15692.966897030014,15057.666241288758,16322.44932334197
2026-01-25 07:00:00+00:00,15732.57325,16785.772988647706,16149.730324097574,17415.466636459627
2026-01-25 08:00:00+00:00,16744.09575,17766.615666300488,17130.097923312125,18396.84544930432
2026-01-25 09:00:00+00:00,17292.773,18503.733249593985,17867.357882188164,19133.586896905494
2026-01-25 10:00:00+00:00,17690.59775,18922.836156044796,18286.86476484236,19552.583109157364
2026-01-25 11:00:00+00:00,17477.35275,19040.690771885922,18404.958131007676,19670.988793111992
2026-01-25 12:00:00+00:00,17320.214,18988.885095930258,18352.565615684252,19619.623221502025
2026-01-25 13:00:00+00:00,16967.76,18777.469405722328,18142.233542732654,19408.00346041454
2026-01-25 14:00:00+00:00,17037.848,18494.390845452144,17858.379121858594,19124.72976280339
2026-01-25 15:00:00+00:00,17468.12325,18159.359676769913,17521.917679982715,18789.70818233212
2026-01-25 16:00:00+00:00,18826.359,17773.982740456766,17137.360088275735,18405.741999723432
2026-01-25 17:00:00+00:00,19005.11775,17284.33722859447,16647.62317716648,17914.83992247782
2026-01-25 18:00:00+00:00,18394.96225,16671.19081151304,16034.79981086007,17302.493586738492
