date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,16037.628723363954,15711.881921295302,16363.375525432604
2026-01-24 01:00:00+00:00,15178.943749999999,15696.052942890266,15370.306140821614,16021.799744958918
2026-01-24 02:00:00+00:00,14840.94125,15474.977176660806,15149.230374592154,15800.723978729458
2026-01-24 03:00:00+00:00,14917.98625,15537.008274385558,15211.261472316906,15862.75507645421
2026-01-24 04:00:00+00:00,15127.0665,16240.149336197845,15914.402534129193,16565.896138266497
2026-01-24 05:00:00+00:00,15755.87675,18086.05725218228,17760.31045011363,18411.804054250933
2026-01-24 06:00:00+00:00,16509.514000000003,20127.60582138282,19801.859019314164,20453.352623451472
2026-01-24 07:00:00+00:00,17411.12575,21039.478716947415,20713.73191487876,21365.225519016065
2026-01-24 08:00:00+00:00,18059.09175,21284.60956045237,20958.862758383715,21610.356362521023
2026-01-24 09:00:00+00:00,18467.146,21386.633341533474,21060.886539464824,21712.380143602124
2026-01-24 10:00:00+00:00,18462.941,21389.91649831812,21064.169696249468,21715.663300386772
2026-01-24 11:00:00+00:00,18117.68375,21069.808337390827,20744.061535322173,21395.55513945948
2026-01-24 12:00:00+00:00,17752.624499999998,20709.25448297772,20383.507680909068,21035.00128504637
2026-01-24 13:00:00+00:00,17461.9565,20382.68956802226,20056.942765953605,20708.43637009091
2026-01-24 14:00:00+00:00,17481.468249999998,20231.140950863264,19905.394148794614,20556.887752931918
2026-01-24 15:00:00+00:00,18018.08475,20482.953767488063,20157.20696541941,20808.700569556713
2026-01-24 16:00:00+00:00,19089.31875,21330.560062794793,21004.813260726143,21656.306864863447
2026-01-24 17:00:00+00:00,19392.22225,21228.147507834197,20902.400705765547,21553.89430990285
2026-01-24 18:00:00+00:00,18700.096250000002,20458.21549137005,20132.4686893014,20783.962293438704
2026-01-24 19:00:00+00:00,17581.14675,19412.15901237498,19086.41221030633,19737.905814443635
2026-01-24 20:00:00+00:00,16787.37775,18362.459791245994,18036.71298917734,18688.206593314644
2026-01-24 21:00:00+00:00,16364.8275,17536.191595995824,17210.444793927174,17861.938398064478
2026-01-24 22:00:00+00:00,15547.2235,16560.56866028029,16234.821858211639,16886.315462348943
2026-01-24 23:00:00+00:00,15111.115,15737.99101893623,15412.244216867579,16063.737821004883
2026-01-25 00:00:00+00:00,14343.6545,15209.677526338204,14883.930724269552,15535.424328406856
2026-01-25 01:00:00+00:00,13686.711,14721.487895539138,14395.741093470486,15047.23469760779
2026-01-25 02:00:00+00:00,13368.06275,14528.472572330023,14202.725770261372,14854.219374398675
2026-01-25 03:00:00+00:00,13375.222249999999,14672.743084277889,14346.996282209237,14998.489886346539
2026-01-25 04:00:00+00:00,13465.33575,14942.916907223798,14617.170105155146,15268.66370929245
2026-01-25 05:00:00+00:00,13851.75325,16314.943012116428,15989.196210047776,16640.68981418508
2026-01-25 06:00:00+00:00,14710.34775,18173.693859668823,17847.947057600173,18499.440661737477
