date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,15940.994,15710.716427880565,16171.271206133199
2026-01-24 01:00:00+00:00,15178.943749999999,15615.142,15384.864693068155,15845.419471320787
2026-01-24 02:00:00+00:00,14840.94125,15424.407,15194.129564886167,15654.684343138799
2026-01-24 03:00:00+00:00,14917.98625,15819.711,15589.433318949885,16049.988097202518
2026-01-24 04:00:00+00:00,15127.0665,16511.842,16281.565151691448,16742.11992994408
2026-01-24 05:00:00+00:00,15755.87675,18344.36,18114.081974493434,18574.636752746068
2026-01-24 06:00:00+00:00,16509.514000000003,20361.559,20131.281407091366,20591.836185344
2026-01-24 07:00:00+00:00,17411.12575,21148.45,20918.171793479552,21378.726571732186
2026-01-24 08:00:00+00:00,18059.09175,21446.682,21216.404115353536,21676.95889360617
2026-01-24 09:00:00+00:00,18467.146,21524.367,21294.08886962072,21754.64364787335
2026-01-24 10:00:00+00:00,18462.941,21384.459,21154.18080032399,21614.735578576623
2026-01-24 11:00:00+00:00,18117.68375,20805.307,20575.029172822833,21035.583951075463
2026-01-24 12:00:00+00:00,17752.624499999998,20036.902,19806.62571994135,20267.180498193982
2026-01-24 13:00:00+00:00,17461.9565,19463.062,19232.78605965848,19693.340837911113
2026-01-24 14:00:00+00:00,17481.468249999998,19077.86,18847.58259719548,19308.13737544811
2026-01-24 15:00:00+00:00,18018.08475,19283.43,19053.153247255752,19513.708025508386
2026-01-24 16:00:00+00:00,19089.31875,19963.186,19732.90867859514,20193.46345684777
2026-01-24 17:00:00+00:00,19392.22225,20034.145,19803.866461120535,20264.42123937317
2026-01-24 18:00:00+00:00,18700.096250000002,19185.44,18955.162172149056,19415.716950401686
2026-01-24 19:00:00+00:00,17581.14675,18005.584,17775.30641993007,18235.861198182705
2026-01-24 20:00:00+00:00,16787.37775,17306.35,17076.072713644713,17536.627491897347
2026-01-24 21:00:00+00:00,16364.8275,16670.68,16440.40313976765,16900.957918020285
2026-01-24 22:00:00+00:00,15547.2235,15677.251,15446.973699120015,15907.528477372649
2026-01-24 23:00:00+00:00,15111.115,14790.702,14560.424944417453,15020.979722670087
2026-01-25 00:00:00+00:00,14343.6545,14095.652,13865.374806304724,14325.929584557358
2026-01-25 01:00:00+00:00,13686.711,13901.114,13670.836832509027,14131.39161076166
2026-01-25 02:00:00+00:00,13368.06275,13828.897,13598.619964205023,14059.174742457657
2026-01-25 03:00:00+00:00,13375.222249999999,13817.215,13586.937626503419,14047.492404756053
2026-01-25 04:00:00+00:00,13465.33575,14002.44,13772.163227519799,14232.71800577243
2026-01-25 05:00:00+00:00,13851.75325,14330.922,14100.64445652018,14561.199234772812
2026-01-25 06:00:00+00:00,14710.34775,15109.085,14878.807836040633,15339.362614293266
2026-01-25 07:00:00+00:00,15732.57325,16349.581,16119.303657410299,16579.858435662933
2026-01-25 08:00:00+00:00,16744.09575,17406.902,17176.62571814993,17637.180496402565
2026-01-25 09:00:00+00:00,17292.773,18294.549,18064.27096513887,18524.8257433915
2026-01-25 10:00:00+00:00,17690.59775,18587.018,18356.739490743515,18817.29426899615
2026-01-25 11:00:00+00:00,17477.35275,18476.932,18246.654821288754,18707.209599541384
2026-01-25 12:00:00+00:00,17320.214,18093.941,17863.663560802943,18324.218339055577
2026-01-25 13:00:00+00:00,16967.76,17980.871,17750.594640101946,18211.14941835458
2026-01-25 14:00:00+00:00,17037.848,18018.236,17787.95930990496,18248.514088157594
2026-01-25 15:00:00+00:00,17468.12325,18434.123,18203.8465754344,18664.401353687033
2026-01-25 16:00:00+00:00,18826.359,19092.0,18861.722583156552,19322.277361409182
2026-01-25 17:00:00+00:00,19005.11775,19240.03,19009.7521748617,19470.306953114334
2026-01-25 18:00:00+00:00,18394.96225,18523.55,18293.272514155287,18753.82729240792
2026-01-25 19:00:00+00:00,17617.6925,17665.305,17435.027171578655,17895.581949831285
2026-01-25 20:00:00+00:00,17006.44425,16965.791,16735.512727725214,17196.067505977848
2026-01-25 21:00:00+00:00,16815.74675,16524.387,16294.109652990455,16754.664431243087
2026-01-25 22:00:00+00:00,16171.48725,15684.357,15454.080062662615,15914.634840915247
2026-01-25 23:00:00+00:00,15721.83675,14895.53,14665.252553523767,15125.807331776401
2026-01-26 00:00:00+00:00,14985.85175,14511.893,14281.614900864934,14742.169679117565
2026-01-26 01:00:00+00:00,14963.5355,14223.207,13992.929416678573,14453.484194931207
2026-01-26 02:00:00+00:00,15237.447,14140.631,13910.35334049517,14370.908118747804
2026-01-26 03:00:00+00:00,15533.35825,14312.732,14082.454942210712,14543.009720463346
2026-01-26 04:00:00+00:00,16948.87575,15451.61,15221.333278332175,15681.888056584809
2026-01-26 05:00:00+00:00,19275.07025,17329.678,17099.40100800745,17559.955786260085
2026-01-26 06:00:00+00:00,21498.78925,19184.508,18954.231354007534,19414.786132260168
2026-01-26 07:00:00+00:00,22620.60875,20323.58,20093.301948000717,20553.856726253347
2026-01-26 08:00:00+00:00,23112.8375,20543.145,20312.867730478425,20773.422508731055
2026-01-26 09:00:00+00:00,23676.845,20768.633,20538.354401552304,20998.909179804938
2026-01-26 10:00:00+00:00,23727.67475,20976.86,20746.58170583998,21207.13648409261
2026-01-26 11:00:00+00:00,23447.62425,21126.078,20895.800303715816,21356.35508196845
2026-01-26 12:00:00+00:00,22884.634,20916.46,20686.183478398438,21146.738256651068
2026-01-26 13:00:00+00:00,22412.54575,20643.55,20413.27303131241,20873.827809565042
2026-01-26 14:00:00+00:00,22125.862,20538.314,20308.037602478205,20768.592380730835
2026-01-26 15:00:00+00:00,22197.0235,20727.11,20496.832066206858,20957.386844459492
2026-01-26 16:00:00+00:00,22517.7675,21197.258,20966.9803961936,21427.53517444623
2026-01-26 17:00:00+00:00,22515.71425,21098.818,20868.54101278171,21329.095791034342
2026-01-26 18:00:00+00:00,21647.289,20460.768,20230.490995572087,20691.04577382472
2026-01-26 19:00:00+00:00,20290.64475,19280.852,19050.57438474623,19511.129162998863
2026-01-26 20:00:00+00:00,19078.04,18244.197,18013.91910215956,18474.473880412195
2026-01-26 21:00:00+00:00,18341.4325,17416.99,17186.712990325883,17647.267768578517
2026-01-26 22:00:00+00:00,17203.87675,16361.37,16131.093168292193,16591.64794654483
2026-01-26 23:00:00+00:00,16425.90325,15527.8545,15297.576936834277,15758.13171508691
2026-01-27 00:00:00+00:00,15742.38925,14902.034,14671.756544694907,15132.311322947538
2026-01-27 01:00:00+00:00,15028.87925,14532.433,14302.155518958192,14762.710297210826
2026-01-27 02:00:00+00:00,15282.04975,14491.84,14261.562492863191,14722.117271115823
2026-01-27 03:00:00+00:00,15858.319,14882.741,14652.463695697155,15113.018473949789
2026-01-27 04:00:00+00:00,17248.55775,15994.816,15764.53927474177,16225.094052994402
2026-01-27 05:00:00+00:00,19592.810250000002,18227.275,17996.998062284307,18457.55284053694
2026-01-27 06:00:00+00:00,21209.317750000002,20197.479,19967.200567391043,20427.755345643676
2026-01-27 07:00:00+00:00,22040.6985,20918.16,20687.882489754014,21148.437268006648
2026-01-27 08:00:00+00:00,22309.33925,21054.715,20824.43780307197,21284.992581324605
2026-01-27 09:00:00+00:00,22502.5955,21213.57,20983.29318530923,21443.847963561864
2026-01-27 10:00:00+00:00,22766.5715,21110.986,20880.7093810655,21341.26415931813
