date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,15963.580841195868,15339.88132453496,16587.280357856776
2026-01-24 01:00:00+00:00,15178.943749999999,15740.384544280047,15116.685027619138,16364.084060940955
2026-01-24 02:00:00+00:00,14840.94125,15648.77325097722,15025.073734316311,16272.472767638128
2026-01-24 03:00:00+00:00,14917.98625,15476.038435362863,14852.338918701955,16099.737952023772
2026-01-24 04:00:00+00:00,15127.0665,15729.903156964721,15106.203640303813,16353.60267362563
2026-01-24 05:00:00+00:00,15755.87675,16652.1688357015,16028.46931904059,17275.86835236241
2026-01-24 06:00:00+00:00,16509.514000000003,16693.596757001447,16069.897240340539,17317.296273662356
2026-01-24 07:00:00+00:00,17411.12575,17327.980858649018,16704.28134198811,17951.680375309927
2026-01-24 08:00:00+00:00,18059.09175,18856.450277425192,18232.750760764284,19480.1497940861
2026-01-24 09:00:00+00:00,18467.146,18769.320913816915,18145.621397156006,19393.020430477824
2026-01-24 10:00:00+00:00,18462.941,18811.6478264483,18187.948309787396,19435.347343109213
2026-01-24 11:00:00+00:00,18117.68375,18562.76887036153,17939.069353700623,19186.46838702244
2026-01-24 12:00:00+00:00,17752.624499999998,18033.821692346624,17410.122175685716,18657.521209007537
2026-01-24 13:00:00+00:00,17461.9565,17164.827456842897,16541.12794018199,17788.526973503805
2026-01-24 14:00:00+00:00,17481.468249999998,17465.036127029663,16841.336610368755,18088.735643690572
2026-01-24 15:00:00+00:00,18018.08475,17887.660019670206,17263.960503009297,18511.359536331114
2026-01-24 16:00:00+00:00,19089.31875,18906.78569592305,18283.08617926214,19530.485212583957
2026-01-24 17:00:00+00:00,19392.22225,18948.998744222437,18325.29922756153,19572.698260883346
2026-01-24 18:00:00+00:00,18700.096250000002,18591.425039312297,17967.725522651388,19215.124555973205
2026-01-24 19:00:00+00:00,17581.14675,17443.514210173602,16819.814693512693,18067.21372683451
2026-01-24 20:00:00+00:00,16787.37775,16953.95287995867,16330.253363297763,17577.652396619582
2026-01-24 21:00:00+00:00,16364.8275,16698.231164076708,16074.531647415799,17321.930680737616
2026-01-24 22:00:00+00:00,15547.2235,15949.239231152193,15325.539714491284,16572.938747813103
2026-01-24 23:00:00+00:00,15111.115,15206.088738315344,14582.389221654435,15829.788254976253
2026-01-25 00:00:00+00:00,14343.6545,14072.521256802376,13448.821740141468,14696.220773463285
2026-01-25 01:00:00+00:00,13686.711,13618.691552532851,12994.992035871943,14242.391069193762
2026-01-25 02:00:00+00:00,13368.06275,13544.22614365667,12920.526626995761,14167.925660317578
2026-01-25 03:00:00+00:00,13375.222249999999,13454.62352819061,12830.9240115297,14078.323044851519
2026-01-25 04:00:00+00:00,13465.33575,13660.583990209992,13036.884473549084,14284.283506870901
2026-01-25 05:00:00+00:00,13851.75325,14511.855944881288,13888.15642822038,15135.555461542199
2026-01-25 06:00:00+00:00,14710.34775,14984.758356069366,14361.058839408457,15608.457872730274
2026-01-25 07:00:00+00:00,15732.57325,16028.963374511062,15405.263857850154,16652.66289117197
2026-01-25 08:00:00+00:00,16744.09575,16564.101055720956,15940.401539060049,17187.800572381864
2026-01-25 09:00:00+00:00,17292.773,16908.39658980967,16284.69707314876,17532.096106470577
2026-01-25 10:00:00+00:00,17690.59775,17824.97802345057,17201.278506789662,18448.67754011148
2026-01-25 11:00:00+00:00,17477.35275,17994.911414380724,17371.21189771981,18618.610931041632
2026-01-25 12:00:00+00:00,17320.214,17780.06834348832,17156.368826827413,18403.76786014923
2026-01-25 13:00:00+00:00,16967.76,17497.155796578023,16873.456279917114,18120.85531323893
2026-01-25 14:00:00+00:00,17037.848,17420.815751425464,16797.116234764555,18044.515268086372
2026-01-25 15:00:00+00:00,17468.12325,17367.82176910955,16744.122252448637,17991.521285770457
2026-01-25 16:00:00+00:00,18826.359,18603.552012739252,17979.852496078343,19227.25152940016
2026-01-25 17:00:00+00:00,19005.11775,18678.722888962333,18055.023372301424,19302.42240562324
2026-01-25 18:00:00+00:00,18394.96225,18339.421660192427,17715.72214353152,18963.121176853336
2026-01-25 19:00:00+00:00,17617.6925,17522.811298461824,16899.111781800915,18146.510815122732
2026-01-25 20:00:00+00:00,17006.44425,17267.845533273612,16644.146016612704,17891.54504993452
2026-01-25 21:00:00+00:00,16815.74675,17097.094587050782,16473.395070389874,17720.79410371169
2026-01-25 22:00:00+00:00,16171.48725,16546.307372711253,15922.607856050345,17170.006889372162
2026-01-25 23:00:00+00:00,15721.83675,16009.11456485659,15385.415048195682,16632.8140815175
2026-01-26 00:00:00+00:00,14985.85175,15569.231368775183,14945.531852114274,16192.930885436092
2026-01-26 01:00:00+00:00,14963.5355,15301.291844856933,14677.592328196024,15924.991361517841
2026-01-26 02:00:00+00:00,15237.447,15529.818442878075,14906.118926217167,16153.517959538984
2026-01-26 03:00:00+00:00,15533.35825,16092.21888012555,15468.51936346464,16715.91839678646
2026-01-26 04:00:00+00:00,16948.87575,17226.69819738109,16602.998680720182,17850.397714042
2026-01-26 05:00:00+00:00,19275.07025,19546.347298751214,18922.647782090306,20170.046815412123
2026-01-26 06:00:00+00:00,21498.78925,21500.532807225707,20876.8332905648,22124.232323886616
2026-01-26 07:00:00+00:00,22620.60875,22930.959972664128,22307.26045600322,23554.659489325037
2026-01-26 08:00:00+00:00,23112.8375,23294.83972846653,22671.14021180562,23918.53924512744
2026-01-26 09:00:00+00:00,23676.845,23349.479240980923,22725.779724320015,23973.178757641832
2026-01-26 10:00:00+00:00,23727.67475,23348.82377633364,22725.12425967273,23972.52329299455
2026-01-26 11:00:00+00:00,23447.62425,23231.71575289743,22608.016236236523,23855.41526955834
2026-01-26 12:00:00+00:00,22884.634,22581.278437801462,21957.578921140554,23204.97795446237
2026-01-26 13:00:00+00:00,22412.54575,22481.481485377437,21857.78196871653,23105.181002038345
2026-01-26 14:00:00+00:00,22125.862,22280.782400297532,21657.082883636624,22904.48191695844
2026-01-26 15:00:00+00:00,22197.0235,22443.350513529334,21819.650996868426,23067.050030190243
2026-01-26 16:00:00+00:00,22517.7675,22580.698574019072,21956.999057358167,23204.398090679984
2026-01-26 17:00:00+00:00,22515.71425,22599.42416480781,21975.7246481469,23223.123681468718
2026-01-26 18:00:00+00:00,21647.289,22039.223682168536,21415.524165507628,22662.92319882945
2026-01-26 19:00:00+00:00,20290.64475,20809.008905613344,20185.309388952435,21432.708422274252
2026-01-26 20:00:00+00:00,19078.04,19443.76318094449,18820.06366428358,20067.4626976054
2026-01-26 21:00:00+00:00,18341.4325,18747.207817839615,18123.508301178706,19370.907334500524
2026-01-26 22:00:00+00:00,17203.87675,17868.498581564432,17244.799064903524,18492.198098225344
2026-01-26 23:00:00+00:00,16425.90325,16831.874941089132,16208.175424428224,17455.57445775004
2026-01-27 00:00:00+00:00,15742.38925,16454.617344205508,15830.9178275446,17078.316860866416
2026-01-27 01:00:00+00:00,15028.87925,15808.291002004009,15184.5914853431,16431.990518664916
2026-01-27 02:00:00+00:00,15282.04975,15761.782202361903,15138.082685700994,16385.481719022813
2026-01-27 03:00:00+00:00,15858.319,16302.02085715129,15678.321340490382,16925.7203738122
2026-01-27 04:00:00+00:00,17248.55775,18099.767340497663,17476.067823836755,18723.46685715857
2026-01-27 05:00:00+00:00,19592.810250000002,19528.39776854336,18904.69825188245,20152.09728520427
2026-01-27 06:00:00+00:00,21209.317750000002,21103.951576939337,20480.252060278428,21727.651093600245
2026-01-27 07:00:00+00:00,22040.6985,22386.73308327772,21763.03356661681,23010.432599938627
2026-01-27 08:00:00+00:00,22309.33925,22355.020513593827,21731.32099693292,22978.720030254735
2026-01-27 09:00:00+00:00,22502.5955,22343.377306775714,21719.677790114805,22967.076823436622
2026-01-27 10:00:00+00:00,22766.5715,22489.483515926815,21865.783999265906,23113.183032587724
2026-01-27 11:00:00+00:00,22536.353750000002,22358.554004491045,21734.854487830136,22982.253521151953
2026-01-27 12:00:00+00:00,22007.9955,22098.04385907316,21474.344342412252,22721.74337573407
2026-01-27 13:00:00+00:00,21490.77275,21824.932157419214,21201.232640758306,22448.631674080123
