date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,15584.348,15315.44239443321,15853.253037083552
2026-01-24 01:00:00+00:00,15178.943749999999,15050.956,14782.050610656139,15319.86125330648
2026-01-24 02:00:00+00:00,14840.94125,14396.337,14127.431599538582,14665.242242188922
2026-01-24 03:00:00+00:00,14917.98625,15094.954,14826.048543975417,15363.859186625758
2026-01-24 04:00:00+00:00,15127.0665,14953.821,14684.91567613068,15222.726318781022
2026-01-24 05:00:00+00:00,15755.87675,16110.623,15841.71737636067,16379.52801901101
2026-01-24 06:00:00+00:00,16509.514000000003,16977.61,16708.703332248868,17246.513974899208
2026-01-24 07:00:00+00:00,17411.12575,17458.49,17189.5843782871,17727.39502093744
2026-01-24 08:00:00+00:00,18059.09175,19238.72,18969.816155866705,19507.626798517045
2026-01-24 09:00:00+00:00,18467.146,18969.758,18700.851913281014,19238.662555931354
2026-01-24 10:00:00+00:00,18462.941,18951.4,18682.495196253116,19220.30583890346
2026-01-24 11:00:00+00:00,18117.68375,18800.27,18531.364734807103,19069.175377457446
2026-01-24 12:00:00+00:00,17752.624499999998,18400.145,18131.23902422659,18669.049666876934
2026-01-24 13:00:00+00:00,17461.9565,17479.266,17210.360785619647,17748.171428269987
2026-01-24 14:00:00+00:00,17481.468249999998,17364.293,17095.388076504045,17633.198719154385
2026-01-24 15:00:00+00:00,18018.08475,17767.746,17498.84124395436,18036.651886604704
2026-01-24 16:00:00+00:00,19089.31875,19034.822,18765.91787202839,19303.728514678733
2026-01-24 17:00:00+00:00,19392.22225,19369.97,19101.065900205413,19638.876542855753
2026-01-24 18:00:00+00:00,18700.096250000002,18428.986,18160.081065907965,18697.891708558305
2026-01-24 19:00:00+00:00,17581.14675,17218.215,16949.309777374845,17487.120420025185
2026-01-24 20:00:00+00:00,16787.37775,16383.882,16114.976628768363,16652.787271418703
2026-01-24 21:00:00+00:00,16364.8275,15570.788,15301.882960914203,15839.693603564543
2026-01-24 22:00:00+00:00,15547.2235,14573.08,14304.174532185192,14841.985174835534
2026-01-24 23:00:00+00:00,15111.115,14424.531,14155.625601007618,14693.436243657958
2026-01-25 00:00:00+00:00,14343.6545,13794.792,13525.8869967668,14063.697639417142
2026-01-25 01:00:00+00:00,13686.711,13316.833,13047.928084809395,13585.738727459735
2026-01-25 02:00:00+00:00,13368.06275,13197.869,12928.964060307257,13466.774702957598
2026-01-25 03:00:00+00:00,13375.222249999999,13338.793,13069.887293096426,13607.697935746768
2026-01-25 04:00:00+00:00,13465.33575,13451.991,13183.086311048182,13720.896953698522
2026-01-25 05:00:00+00:00,13851.75325,13839.08,13570.174507110096,14107.985149760436
2026-01-25 06:00:00+00:00,14710.34775,14272.009,14003.103894176615,14540.914536826955
2026-01-25 07:00:00+00:00,15732.57325,15118.805,14849.899740530673,15387.710383181015
2026-01-25 08:00:00+00:00,16744.09575,15308.129,15039.223157761357,15577.033800411697
2026-01-25 09:00:00+00:00,17292.773,16412.607,16143.702414416892,16681.513057067234
2026-01-25 10:00:00+00:00,17690.59775,17683.85,17414.944189136513,17952.754831786857
2026-01-25 11:00:00+00:00,17477.35275,17820.268,17551.361586423052,18089.172229073396
2026-01-25 12:00:00+00:00,17320.214,17657.408,17388.50244758021,17926.31309023055
2026-01-25 13:00:00+00:00,16967.76,16539.79,16270.884643365094,16808.695286015434
2026-01-25 14:00:00+00:00,17037.848,16473.504,16204.599144375603,16742.409787025943
2026-01-25 15:00:00+00:00,17468.12325,16632.04,16363.13427317172,16900.94491582206
2026-01-25 16:00:00+00:00,18826.359,18415.635,18146.729566551578,18684.540209201918
2026-01-25 17:00:00+00:00,19005.11775,18496.846,18227.940401140175,18765.751043790515
2026-01-25 18:00:00+00:00,18394.96225,17792.986,17524.081644823073,18061.892287473413
2026-01-25 19:00:00+00:00,17617.6925,17018.262,16749.356969858178,17287.167612508518
2026-01-25 20:00:00+00:00,17006.44425,16652.344,16383.437747220694,16921.248389871034
2026-01-25 21:00:00+00:00,16815.74675,16396.8,16127.895506003995,16665.706148654335
2026-01-25 22:00:00+00:00,16171.48725,15247.577,14978.672091771548,15516.482734421888
2026-01-25 23:00:00+00:00,15721.83675,15354.241,15085.336130197533,15623.146772847875
2026-01-26 00:00:00+00:00,14985.85175,14950.857,14681.95255052986,15219.7631931802
2026-01-26 01:00:00+00:00,14963.5355,14981.725,14712.819717874787,15250.630360525129
2026-01-26 02:00:00+00:00,15237.447,15459.656,15190.751224194604,15728.561866844944
2026-01-26 03:00:00+00:00,15533.35825,15678.313,15409.408267744438,15947.218910394779
2026-01-26 04:00:00+00:00,16948.87575,17789.258,17520.351926771596,18058.162569421936
2026-01-26 05:00:00+00:00,19275.07025,20933.582,20664.677395069542,21202.488037719882
2026-01-26 06:00:00+00:00,21498.78925,21575.174,21306.26952224941,21844.08016489975
2026-01-26 07:00:00+00:00,22620.60875,23398.568,23129.662819042213,23667.473461692553
2026-01-26 08:00:00+00:00,23112.8375,23265.498,22996.59379960871,23534.40444225905
2026-01-26 09:00:00+00:00,23676.845,23846.812,23577.907981683536,24115.71862433388
2026-01-26 10:00:00+00:00,23727.67475,23643.584,23374.678488951497,23912.48913160184
2026-01-26 11:00:00+00:00,23447.62425,23440.48,23171.574862297446,23709.385504947786
2026-01-26 12:00:00+00:00,22884.634,22896.828,22627.92389289933,23165.734535549673
2026-01-26 13:00:00+00:00,22412.54575,22471.373,22202.46797430257,22740.27861695291
2026-01-26 14:00:00+00:00,22125.862,22167.822,21898.917774557653,22436.728417207993
2026-01-26 15:00:00+00:00,22197.0235,22177.672,21908.767305428002,22446.577948078342
2026-01-26 16:00:00+00:00,22517.7675,22506.559,22237.654006493067,22775.464649143407
2026-01-26 17:00:00+00:00,22515.71425,22605.463,22336.556849146353,22874.367491796693
2026-01-26 18:00:00+00:00,21647.289,22137.02,21868.11460330981,22405.92524596015
2026-01-26 19:00:00+00:00,20290.64475,21509.852,21240.946388488635,21778.757031138975
2026-01-26 20:00:00+00:00,19078.04,20121.123,19852.218665236745,20390.029307887085
2026-01-26 21:00:00+00:00,18341.4325,19030.523,18761.618695018667,19299.42933766901
2026-01-26 22:00:00+00:00,17203.87675,17849.697,17580.791966974368,18118.602609624708
2026-01-26 23:00:00+00:00,16425.90325,17103.688,16834.781681675267,17372.592324325607
2026-01-27 00:00:00+00:00,15742.38925,16887.857,16618.95120859916,17156.7618512495
2026-01-27 01:00:00+00:00,15028.87925,15716.412,15447.50707378927,15985.317716439611
2026-01-27 02:00:00+00:00,15282.04975,15779.407,15510.50226978924,16048.31291243958
2026-01-27 03:00:00+00:00,15858.319,16688.143,16419.23780176461,16957.04844441495
2026-01-27 04:00:00+00:00,17248.55775,18186.127,17917.22093762885,18455.03158027919
2026-01-27 05:00:00+00:00,19592.810250000002,20421.195,20152.289178193212,20690.099820843556
2026-01-27 06:00:00+00:00,21209.317750000002,22111.082,21842.17666624404,22379.98730889438
2026-01-27 07:00:00+00:00,22040.6985,22271.252,22002.347033518214,22540.157676168557
2026-01-27 08:00:00+00:00,22309.33925,22668.043,22399.13814347855,22936.948786128894
2026-01-27 09:00:00+00:00,22502.5955,22742.852,22473.946136662104,23011.756779312444
2026-01-27 10:00:00+00:00,22766.5715,22879.834,22610.929250942405,23148.739893592745
2026-01-27 11:00:00+00:00,22536.353750000002,22654.418,22385.511949911423,22923.322592561763
2026-01-27 12:00:00+00:00,22007.9955,22169.25,21900.34516391774,22438.15580656808
2026-01-27 13:00:00+00:00,21490.77275,21603.98,21335.075845178922,21872.886487829262
2026-01-27 14:00:00+00:00,21428.3645,21449.072,21180.16804067895,21717.97868332929
2026-01-27 15:00:00+00:00,21823.504500000003,21851.484,21582.57822057492,22120.388863225264
2026-01-27 16:00:00+00:00,22717.2745,22750.58,22481.674994207668,23019.485636858008
2026-01-27 17:00:00+00:00,22560.74925,22578.242,22309.33711915665,22847.14776180699
2026-01-27 18:00:00+00:00,22150.944750000002,22359.469,22090.56282561466,22628.373468265
2026-01-27 19:00:00+00:00,21008.1215,21771.998,21503.092091433333,22040.902734083673
2026-01-27 20:00:00+00:00,19930.9185,20967.996,20699.091221862658,21236.901864512998
2026-01-27 21:00:00+00:00,18854.3345,19941.67,19672.763913922052,20210.574556572392
2026-01-27 22:00:00+00:00,17649.3345,18516.482,18247.576870020464,18785.387512670808
2026-01-27 23:00:00+00:00,16918.0925,17646.582,17377.676434069697,17915.487076720037
2026-01-28 00:00:00+00:00,16221.03725,16555.541,16286.63482699825,16824.445469648592
2026-01-28 01:00:00+00:00,15730.02075,16681.738,16412.83257910944,16950.643221759783
2026-01-28 02:00:00+00:00,15648.339249999999,16513.045,16244.140397998382,16781.951040648724
2026-01-28 03:00:00+00:00,16255.864,17085.102,16816.19568427828,17354.006326928622
2026-01-28 04:00:00+00:00,17406.095,18369.959,18101.054127564537,18638.864770214877
2026-01-28 05:00:00+00:00,19517.55475,19505.31,19236.405271542924,19774.215914193264
2026-01-28 06:00:00+00:00,21252.7655,21366.355,21097.45089529758,21635.26153794792
