date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,17110.05,16841.633805065674,17378.466962312606
2026-01-24 01:00:00+00:00,15178.943749999999,16067.296,15798.879740800408,16335.71289804734
2026-01-24 02:00:00+00:00,14840.94125,16128.157,15859.741092185846,16396.57424943278
2026-01-24 03:00:00+00:00,14917.98625,16329.144,16060.727192167065,16597.560349413998
2026-01-24 04:00:00+00:00,15127.0665,16672.617,16404.200793657354,16941.033950904286
2026-01-24 05:00:00+00:00,15755.87675,18780.426,18512.008479153366,19048.8416364003
2026-01-24 06:00:00+00:00,16509.514000000003,19678.617,19410.200377738962,19947.033534985894
2026-01-24 07:00:00+00:00,17411.12575,19895.248,19626.8312059907,20163.664363237633
2026-01-24 08:00:00+00:00,18059.09175,21194.629,20926.21170315862,21463.044860405556
2026-01-24 09:00:00+00:00,18467.146,21634.943,21366.526282351013,21903.35943959795
2026-01-24 10:00:00+00:00,18462.941,21573.64,21305.224059514032,21842.057216760964
2026-01-24 11:00:00+00:00,18117.68375,20921.568,20653.151710359525,21189.984867606458
2026-01-24 12:00:00+00:00,17752.624499999998,20137.648,19869.232263263755,20406.065420510688
2026-01-24 13:00:00+00:00,17461.9565,19373.13,19104.71524217894,19641.548399425876
2026-01-24 14:00:00+00:00,17481.468249999998,19097.963,18829.545461769914,19366.378619016847
2026-01-24 15:00:00+00:00,18018.08475,18964.596,18696.179806606673,19233.012963853605
2026-01-24 16:00:00+00:00,19089.31875,19361.662,19093.245780867044,19630.078938113977
2026-01-24 17:00:00+00:00,19392.22225,19519.83,19251.413856965464,19788.247014212397
2026-01-24 18:00:00+00:00,18700.096250000002,19431.008,19162.591526444558,19699.42468369149
2026-01-24 19:00:00+00:00,17581.14675,18354.6,18086.18295651949,18623.01611376642
2026-01-24 20:00:00+00:00,16787.37775,18234.256,17965.83967792763,18502.672835174562
2026-01-24 21:00:00+00:00,16364.8275,17797.69,17529.27284625194,18066.106003498873
2026-01-24 22:00:00+00:00,15547.2235,16553.178,16284.761964889403,16821.595122136336
2026-01-24 23:00:00+00:00,15111.115,16062.185,15793.768217319788,16330.601374566722
2026-01-25 00:00:00+00:00,14343.6545,14396.164,14127.747021249112,14664.580178496046
2026-01-25 01:00:00+00:00,13686.711,14225.454,13957.037581104374,14493.870738351306
2026-01-25 02:00:00+00:00,13368.06275,14582.731,14314.31439659512,14851.147553842055
2026-01-25 03:00:00+00:00,13375.222249999999,14369.003,14100.585887021392,14637.419044268327
2026-01-25 04:00:00+00:00,13465.33575,15735.544,15467.127268994505,16003.960426241438
2026-01-25 05:00:00+00:00,13851.75325,16857.84,16589.42250754932,17126.255664796252
2026-01-25 06:00:00+00:00,14710.34775,17796.156,17527.740341707802,18064.573498954735
2026-01-25 07:00:00+00:00,15732.57325,18835.436,18567.018758805367,19103.8519160523
2026-01-25 08:00:00+00:00,16744.09575,19200.928,18932.510376956285,19469.343534203217
2026-01-25 09:00:00+00:00,17292.773,20348.32,20079.903502812114,20616.736660059047
2026-01-25 10:00:00+00:00,17690.59775,20889.092,20620.674860453048,21157.50801769998
2026-01-25 11:00:00+00:00,17477.35275,20631.477,20363.059655958696,20899.892813205628
2026-01-25 12:00:00+00:00,17320.214,20345.662,20077.246367852236,20614.07952509917
2026-01-25 13:00:00+00:00,16967.76,20357.584,20089.16724615194,20626.000403398873
2026-01-25 14:00:00+00:00,17037.848,19887.578,19619.161879698237,20155.99503694517
2026-01-25 15:00:00+00:00,17468.12325,19786.547,19518.130539612615,20054.963696859548
2026-01-25 16:00:00+00:00,18826.359,19439.127,19170.710228653294,19707.543385900226
2026-01-25 17:00:00+00:00,19005.11775,19364.807,19096.39005156659,19633.22320881352
2026-01-25 18:00:00+00:00,18394.96225,19056.273,18787.856575669164,19324.689732916097
2026-01-25 19:00:00+00:00,17617.6925,18437.176,18168.759608143537,18705.59276539047
2026-01-25 20:00:00+00:00,17006.44425,17193.803,16925.386454072424,17462.219611319357
2026-01-25 21:00:00+00:00,16815.74675,16614.506,16346.088340406215,16882.921497653148
2026-01-25 22:00:00+00:00,16171.48725,16078.732,15810.315864610568,16347.1490218575
2026-01-25 23:00:00+00:00,15721.83675,14186.205,13917.788285755736,14454.621443002668
2026-01-26 00:00:00+00:00,14985.85175,14946.313,14677.897315204624,15214.730472451556
2026-01-26 01:00:00+00:00,14963.5355,14772.304,14503.886824553065,15040.719981799997
2026-01-26 02:00:00+00:00,15237.447,14489.5205,14221.104102452726,14757.93725969966
2026-01-26 03:00:00+00:00,15533.35825,14944.8545,14676.438034101802,15213.271191348736
2026-01-26 04:00:00+00:00,16948.87575,16361.123,16092.70691358782,16629.54007083475
2026-01-26 05:00:00+00:00,19275.07025,18845.92,18577.503403101662,19114.336560348595
2026-01-26 06:00:00+00:00,21498.78925,21203.041,20934.623979489796,21471.45713673673
2026-01-26 07:00:00+00:00,22620.60875,22040.793,21772.377028497685,22309.210185744618
2026-01-26 08:00:00+00:00,23112.8375,22644.857,22376.440313543557,22913.273470790493
2026-01-26 09:00:00+00:00,23676.845,22632.951,22364.534062923187,22901.367220170123
2026-01-26 10:00:00+00:00,23727.67475,22677.645,22409.22740632334,22946.060563570278
2026-01-26 11:00:00+00:00,23447.62425,22316.275,22047.858412494374,22584.69156974131
2026-01-26 12:00:00+00:00,22884.634,21897.316,21628.899224593268,22165.7323818402
2026-01-26 13:00:00+00:00,22412.54575,21519.352,21250.934958471036,21787.768115717972
2026-01-26 14:00:00+00:00,22125.862,21570.219,21301.802543264326,21838.635700511262
2026-01-26 15:00:00+00:00,22197.0235,21606.168,21337.751255851705,21874.584413098637
2026-01-26 16:00:00+00:00,22517.7675,21674.74,21406.323775496072,21943.156932743008
2026-01-26 17:00:00+00:00,22515.71425,22292.56,22024.14320233013,22560.976359577067
2026-01-26 18:00:00+00:00,21647.289,21867.836,21599.41934805723,22136.252505304165
2026-01-26 19:00:00+00:00,20290.64475,20772.83,20504.41338475244,21041.24654199937
2026-01-26 20:00:00+00:00,19078.04,19356.959,19088.54179133623,19625.374948583165
2026-01-26 21:00:00+00:00,18341.4325,17443.293,17174.875812607672,17711.708969854604
2026-01-26 22:00:00+00:00,17203.87675,16230.153,15961.737136227983,16498.570293474917
2026-01-26 23:00:00+00:00,16425.90325,14965.207,14696.790068644379,15233.623225891313
2026-01-27 00:00:00+00:00,15742.38925,14897.753,14629.336013678823,15166.169170925756
2026-01-27 01:00:00+00:00,15028.87925,15454.602,15186.184530360575,15723.017687607507
2026-01-27 02:00:00+00:00,15282.04975,14859.009,14590.59213866902,15127.425295915953
2026-01-27 03:00:00+00:00,15858.319,15472.836,15204.418931924509,15741.252089171443
2026-01-27 04:00:00+00:00,17248.55775,16634.684,16366.266713779029,16903.099871025963
2026-01-27 05:00:00+00:00,19592.810250000002,19058.512,18790.095290964382,19326.928448211314
2026-01-27 06:00:00+00:00,21209.317750000002,21621.129,21352.71299055985,21889.546147806785
2026-01-27 07:00:00+00:00,22040.6985,22827.99,22559.573415942767,23096.406573189703
2026-01-27 08:00:00+00:00,22309.33925,22777.873,22509.45626511715,23046.289422364083
2026-01-27 09:00:00+00:00,22502.5955,22402.604,22134.186893778195,22671.02005102513
2026-01-27 10:00:00+00:00,22766.5715,21527.266,21258.848873169103,21795.682030416036
2026-01-27 11:00:00+00:00,22536.353750000002,21611.291,21342.875025761532,21879.708183008468
2026-01-27 12:00:00+00:00,22007.9955,21065.184,20796.76728659255,21333.60044383948
2026-01-27 13:00:00+00:00,21490.77275,20611.908,20343.49258351059,20880.325740757522
2026-01-27 14:00:00+00:00,21428.3645,20532.814,20264.397999925117,20801.23115717205
2026-01-27 15:00:00+00:00,21823.504500000003,21013.81,20745.393856237188,21282.227013484124
2026-01-27 16:00:00+00:00,22717.2745,22252.422,21984.004850238744,22520.838007485676
2026-01-27 17:00:00+00:00,22560.74925,22757.941,22489.525201578654,23026.358358825586
2026-01-27 18:00:00+00:00,22150.944750000002,22386.732,22118.31552152265,22655.148678769587
2026-01-27 19:00:00+00:00,21008.1215,21773.104,21504.687094906963,22041.520252153896
2026-01-27 20:00:00+00:00,19930.9185,20100.695,19832.279343481197,20369.11250072813
2026-01-27 21:00:00+00:00,18854.3345,18570.17,18301.75395837672,18838.587115623654
2026-01-27 22:00:00+00:00,17649.3345,17178.586,16910.16873497594,17447.001892222874
2026-01-27 23:00:00+00:00,16918.0925,16651.17,16382.752703700524,16919.585860947456
2026-01-28 00:00:00+00:00,16221.03725,16547.904,16279.486815507402,16816.319972754336
2026-01-28 01:00:00+00:00,15730.02075,15397.48,15129.063421301717,15665.896578548649
2026-01-28 02:00:00+00:00,15648.339249999999,15871.001,15602.583916900627,16139.417074147561
2026-01-28 03:00:00+00:00,16255.864,16589.602,16321.185481742592,16858.018638989524
2026-01-28 04:00:00+00:00,17406.095,17577.074,17308.656655738974,17845.489812985907
2026-01-28 05:00:00+00:00,19517.55475,19254.805,18986.387181549224,19523.220338796156
2026-01-28 06:00:00+00:00,21252.7655,19859.299,19590.882493403322,20127.715650650258
2026-01-28 07:00:00+00:00,22106.4675,18994.816,18726.400592109883,19263.233749356816
2026-01-28 08:00:00+00:00,22347.57325,20026.227,19757.810168172444,20294.643325419376
2026-01-28 09:00:00+00:00,22756.87525,19810.715,19542.29886765761,20079.132024904542
2026-01-28 10:00:00+00:00,22831.85725,19226.777,18958.36088812464,19495.194045371576
2026-01-28 11:00:00+00:00,22433.1735,19073.273,18804.856660483514,19341.68981773045
2026-01-28 12:00:00+00:00,21779.988,18714.74,18446.32373555232,18983.156892799252
2026-01-28 13:00:00+00:00,21275.9055,18589.477,18321.059433489765,18857.892590736697
2026-01-28 14:00:00+00:00,21184.83425,18410.273,18141.85743486681,18678.690592113744
2026-01-28 15:00:00+00:00,21635.12025,18283.318,18014.90108450181,18551.73424174874
2026-01-28 16:00:00+00:00,22682.212,18833.486,18565.070556025283,19101.903713272215
2026-01-28 17:00:00+00:00,22671.9255,21956.586,21688.16854018147,22225.0016974284
2026-01-28 18:00:00+00:00,21819.130250000002,21978.693,21710.27606633337,22247.109223580304
2026-01-28 19:00:00+00:00,20733.54475,20514.447,20246.030397182367,20782.8635544293
2026-01-28 20:00:00+00:00,19617.7845,19704.592,19436.174713913773,19973.007871160706
2026-01-28 21:00:00+00:00,18655.80625,18283.896,18015.479558192663,18552.312715439595
2026-01-28 22:00:00+00:00,17511.53475,17236.352,16967.934801378673,17504.767958625605
2026-01-28 23:00:00+00:00,16348.53675,16713.412,16444.99569042581,16981.828847672743
2026-01-29 00:00:00+00:00,15812.23125,15992.529,15724.112441480584,16260.945598727518
2026-01-29 01:00:00+00:00,15447.58175,16052.597,15784.18041135147,16321.013568598402
2026-01-29 02:00:00+00:00,15257.6285,16110.466,15842.048999076509,16378.882156323441
2026-01-29 03:00:00+00:00,15587.09175,16034.544,15766.12738875904,16302.960546005972
2026-01-29 04:00:00+00:00,16925.50975,16811.848,16543.43180805478,17080.26496530171
2026-01-29 05:00:00+00:00,19390.540999999997,19819.633,19551.216989550856,20088.05014679779
2026-01-29 06:00:00+00:00,21269.55675,21700.5,21432.083458981127,21968.91661622806
2026-01-29 07:00:00+00:00,22125.70925,22250.307,21981.890300128565,22518.723457375498
2026-01-29 08:00:00+00:00,22284.74025,21973.44,21705.022348202485,22241.855505449417
2026-01-29 09:00:00+00:00,22840.65625,22125.785,21857.367927568954,22394.20108481589
