date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2026-02-28 00:00:00+00:00,,47433.1298598565,46103.06986842523,48763.18985128777
2026-02-28 01:00:00+00:00,,45930.464792231105,44600.404800799835,47260.524783662375
2026-02-28 02:00:00+00:00,,43724.82111752711,42394.76112609585,45054.88110895838
2026-02-28 03:00:00+00:00,,42624.4926931644,41294.43270173313,43954.55268459567
2026-02-28 04:00:00+00:00,,42481.30515023495,41151.24515880368,43811.36514166622
2026-02-28 05:00:00+00:00,,44233.48362232611,42903.42363089484,45563.54361375738
2026-02-28 06:00:00+00:00,,46315.758590011705,44985.698598580435,47645.818581442974
2026-02-28 07:00:00+00:00,,49340.266850227716,48010.206858796446,50670.326841658985
2026-02-28 08:00:00+00:00,,52194.75578507509,50864.69579364382,53524.81577650636
2026-02-28 09:00:00+00:00,,53913.805436109964,52583.745444678694,55243.865427541234
2026-02-28 10:00:00+00:00,,55368.51283055581,54038.45283912454,56698.57282198708
2026-02-28 11:00:00+00:00,,54584.37384392592,53254.313852494655,55914.43383535719
2026-02-28 12:00:00+00:00,,53883.56249024492,52553.50249881365,55213.62248167619
2026-02-28 13:00:00+00:00,,51462.698141782224,50132.638150350955,52792.758133213494
2026-02-28 14:00:00+00:00,,48554.14672633708,47224.08673490581,49884.20671776835
2026-02-28 15:00:00+00:00,,46069.76380516509,44739.703813733824,47399.823796596356
2026-02-28 16:00:00+00:00,,47397.14325596893,46067.08326453766,48727.2032474002
2026-02-28 17:00:00+00:00,,50584.76003273895,49254.70004130769,51914.82002417022
2026-02-28 18:00:00+00:00,,52631.19977452388,51301.13978309261,53961.25976595515
2026-02-28 19:00:00+00:00,,51006.30062073431,49676.24062930304,52336.36061216558
2026-02-28 20:00:00+00:00,,49437.63020001741,48107.57020858614,50767.69019144868
2026-02-28 21:00:00+00:00,,50278.53960209679,48948.47961066552,51608.59959352805
2026-02-28 22:00:00+00:00,,49020.94890118858,47690.88890975731,50351.00889261985
2026-02-28 23:00:00+00:00,,47779.712343029896,46449.65235159863,49109.772334461166
2026-03-01 00:00:00+00:00,,45195.728339722584,43865.668348291314,46525.78833115385
2026-03-01 01:00:00+00:00,,43705.94418308612,42375.88419165485,45036.00417451739
2026-03-01 02:00:00+00:00,,40886.82492424073,39556.76493280946,42216.884915672
2026-03-01 03:00:00+00:00,,40692.73889919664,39362.678907765374,42022.79889062791
2026-03-01 04:00:00+00:00,,40742.55686658879,39412.49687515752,42072.61685802006
2026-03-01 05:00:00+00:00,,41306.28475550024,39976.224764068975,42636.34474693151
2026-03-01 06:00:00+00:00,,43236.708145271085,41906.648153839815,44566.76813670235
2026-03-01 07:00:00+00:00,,45316.63013692572,43986.57014549445,46646.69012835699
2026-03-01 08:00:00+00:00,,50421.50312116914,49091.44312973787,51751.56311260041
2026-03-01 09:00:00+00:00,,52907.27033028516,51577.21033885389,54237.33032171643
2026-03-01 10:00:00+00:00,,53128.65737391192,51798.59738248065,54458.71736534319
2026-03-01 11:00:00+00:00,,52112.31340158917,50782.2534101579,53442.37339302044
2026-03-01 12:00:00+00:00,,50482.07058660298,49152.01059517171,51812.13057803425
2026-03-01 13:00:00+00:00,,46142.739907806485,44812.679916375215,47472.79989923775
2026-03-01 14:00:00+00:00,,44417.85178153734,43087.79179010607,45747.91177296861
2026-03-01 15:00:00+00:00,,42873.309228875805,41543.249237444536,44203.36922030707
2026-03-01 16:00:00+00:00,,44461.24784104159,43131.18784961033,45791.30783247286
2026-03-01 17:00:00+00:00,,47375.732836641044,46045.672845209774,48705.79282807231
2026-03-01 18:00:00+00:00,,50716.22374989076,49386.163758459494,52046.28374132203
2026-03-01 19:00:00+00:00,,49913.678728320796,48583.618736889526,51243.738719752066
2026-03-01 20:00:00+00:00,,48977.77045336013,47647.71046192886,50307.8304447914
2026-03-01 21:00:00+00:00,,49305.098880563346,47975.038889132076,50635.158871994616
2026-03-01 22:00:00+00:00,,49719.0351844274,48388.97519299613,51049.09517585867
2026-03-01 23:00:00+00:00,,48380.669143244406,47050.60915181314,49710.729134675676
2026-03-02 00:00:00+00:00,,46499.196323344186,45169.136331912916,47829.256314775455
2026-03-02 01:00:00+00:00,,45646.942865004305,44316.882873573035,46977.002856435574
2026-03-02 02:00:00+00:00,,43878.84016819741,42548.78017676614,45208.90015962867
2026-03-02 03:00:00+00:00,,44184.382217104045,42854.322225672775,45514.442208535314
2026-03-02 04:00:00+00:00,,47275.127704709186,45945.06771327792,48605.187696140456
2026-03-02 05:00:00+00:00,,52176.62055941684,50846.56056798557,53506.68055084811
2026-03-02 06:00:00+00:00,,57718.78048859474,56388.72049716347,59048.840480026
2026-03-02 07:00:00+00:00,,60120.87213805728,58790.81214662601,61450.93212948855
2026-03-02 08:00:00+00:00,,59584.982561017925,58254.92256958666,60915.042552449195
2026-03-02 09:00:00+00:00,,59375.685880761564,58045.6258893303,60705.74587219284
2026-03-02 10:00:00+00:00,,58218.493179276295,56888.433187845025,59548.553170707564
2026-03-02 11:00:00+00:00,,57248.78551238233,55918.72552095106,58578.8455038136
2026-03-02 12:00:00+00:00,,55820.465961708804,54490.40597027754,57150.52595314007
2026-03-02 13:00:00+00:00,,53460.32106946416,52130.26107803289,54790.38106089543
2026-03-02 14:00:00+00:00,,52561.19237114322,51231.13237971195,53891.25236257449
2026-03-02 15:00:00+00:00,,51580.14176147527,50250.081770044,52910.20175290654
2026-03-02 16:00:00+00:00,,51646.30981051678,50316.24981908551,52976.36980194805
2026-03-02 17:00:00+00:00,,55117.12928362434,53787.06929219307,56447.18927505561
2026-03-02 18:00:00+00:00,,57079.65373857606,55749.59374714479,58409.71373000733
2026-03-02 19:00:00+00:00,,55801.7555542575,54471.69556282623,57131.81554568877
2026-03-02 20:00:00+00:00,,55638.869909947534,54308.80991851627,56968.92990137881
2026-03-02 21:00:00+00:00,,55418.398733309645,54088.33874187837,56748.45872474091
2026-03-02 22:00:00+00:00,,54664.24344311375,53334.18345168249,55994.30343454502
2026-03-02 23:00:00+00:00,,53149.42439410322,51819.36440267195,54479.48438553449
2026-03-03 00:00:00+00:00,,49029.243744019295,47699.183752588026,50359.303735450565
2026-03-03 01:00:00+00:00,,48132.78022049752,46802.72022906625,49462.84021192879
2026-03-03 02:00:00+00:00,,47019.966457925744,45689.906466494474,48350.026449357014
2026-03-03 03:00:00+00:00,,46298.431112624814,44968.371121193544,47628.49110405608
2026-03-03 04:00:00+00:00,,47971.87869301262,46641.81870158135,49301.93868444389
2026-03-03 05:00:00+00:00,,51060.226797864336,49730.166806433066,52390.2867892956
2026-03-03 06:00:00+00:00,,57630.57656841508,56300.51657698381,58960.63655984635
2026-03-03 07:00:00+00:00,,60051.98052301271,58721.92053158144,61382.04051444398
2026-03-03 08:00:00+00:00,,59742.777456661504,58412.717465230235,61072.837448092774
2026-03-03 09:00:00+00:00,,59183.311114944256,57853.25112351298,60513.37110637552
2026-03-03 10:00:00+00:00,,58630.55739725535,57300.49740582408,59960.617388686616
2026-03-03 11:00:00+00:00,,56323.91165538997,54993.8516639587,57653.97164682124
2026-03-03 12:00:00+00:00,,55386.683140520676,54056.623149089406,56716.743131951946
2026-03-03 13:00:00+00:00,,55030.256982175706,53700.196990744436,56360.316973606976
2026-03-03 14:00:00+00:00,,52899.47617064119,51569.41617920992,54229.53616207246
2026-03-03 15:00:00+00:00,,51041.91983004981,49711.85983861854,52371.97982148108
2026-03-03 16:00:00+00:00,,50976.43299670993,49646.37300527866,52306.4929881412
2026-03-03 17:00:00+00:00,,53923.32945054142,52593.26945911015,55253.38944197269
2026-03-03 18:00:00+00:00,,55916.55821612335,54586.49822469208,57246.61820755462
2026-03-03 19:00:00+00:00,,54840.34543758947,53510.2854461582,56170.40542902074
2026-03-03 20:00:00+00:00,,52599.930090241076,51269.870098809806,53929.990081672346
2026-03-03 21:00:00+00:00,,53348.02756692462,52017.96757549335,54678.08755835589
2026-03-03 22:00:00+00:00,,51290.93613687913,49960.87614544786,52620.9961283104
2026-03-03 23:00:00+00:00,,48829.29536342675,47499.23537199548,50159.35535485802
2026-03-04 00:00:00+00:00,,47044.46975097347,45714.409759542206,48374.52974240474
2026-03-04 01:00:00+00:00,,46392.529898340406,45062.46990690914,47722.589889771676
2026-03-04 02:00:00+00:00,,45116.2757307551,43786.21573932383,46446.33572218637
2026-03-04 03:00:00+00:00,,44072.57966016993,42742.51966873866,45402.6396516012
2026-03-04 04:00:00+00:00,,46820.67088357909,45490.61089214782,48150.73087501036
2026-03-04 05:00:00+00:00,,49572.73695954246,48242.67696811119,50902.79695097373
2026-03-04 06:00:00+00:00,,54083.33045337744,52753.27046194617,55413.39044480871
2026-03-04 07:00:00+00:00,,57787.052183116524,56456.99219168526,59117.1121745478
2026-03-04 08:00:00+00:00,,57918.564598282544,56588.504606851275,59248.624589713814
2026-03-04 09:00:00+00:00,,58412.33593997913,57082.27594854786,59742.3959314104
2026-03-04 10:00:00+00:00,,57478.63548302303,56148.57549159175,58808.69547445429
2026-03-04 11:00:00+00:00,,56227.98023122677,54897.9202397955,57558.04022265804
2026-03-04 12:00:00+00:00,,54471.545247844326,53141.485256413056,55801.605239275596
2026-03-04 13:00:00+00:00,,51695.94743979721,50365.88744836594,53026.00743122848
2026-03-04 14:00:00+00:00,,49058.79055898651,47728.73056755524,50388.85055041778
2026-03-04 15:00:00+00:00,,47781.95259393619,46451.89260250492,49112.01258536746
2026-03-04 16:00:00+00:00,,48462.13230846353,47132.07231703226,49792.1922998948
2026-03-04 17:00:00+00:00,,50828.924953285015,49498.864961853746,52158.984944716285
2026-03-04 18:00:00+00:00,,53862.43997986953,52532.37998843826,55192.4999713008
2026-03-04 19:00:00+00:00,,52555.143434677826,51225.08344324656,53885.2034261091
2026-03-04 20:00:00+00:00,,52200.98134211326,50870.92135068199,53531.04133354453
2026-03-04 21:00:00+00:00,,52376.54435086282,51046.48435943155,53706.60434229409
2026-03-04 22:00:00+00:00,,51973.12163237894,50643.06164094767,53303.18162381021
2026-03-04 23:00:00+00:00,,47677.137291485575,46347.07730005431,49007.197282916844
2026-03-05 00:00:00+00:00,,43794.01560185085,42463.95561041958,45124.07559328212
2026-03-05 01:00:00+00:00,,42528.74052977815,41198.68053834689,43858.80052120943
2026-03-05 02:00:00+00:00,,40179.3681611825,38849.308169751224,41509.428152613764
2026-03-05 03:00:00+00:00,,41390.43049432357,40060.3705028923,42720.49048575484
2026-03-05 04:00:00+00:00,,45303.51020212038,43973.45021068911,46633.57019355164
2026-03-05 05:00:00+00:00,,50358.6673018576,49028.60731042633,51688.727293288866
2026-03-05 06:00:00+00:00,,53859.13599788392,52529.07600645265,55189.19598931519
2026-03-05 07:00:00+00:00,,58769.37368797244,57439.31369654117,60099.43367940371
2026-03-05 08:00:00+00:00,,59020.92944772714,57690.86945629587,60350.98943915841
2026-03-05 09:00:00+00:00,,59570.65425100162,58240.59425957035,60900.71424243289
2026-03-05 10:00:00+00:00,,58483.89333173505,57153.83334030378,59813.95332316632
2026-03-05 11:00:00+00:00,,58170.16656330496,56840.10657187369,59500.22655473623
2026-03-05 12:00:00+00:00,,56332.39324815991,55002.33325672864,57662.45323959118
2026-03-05 13:00:00+00:00,,53802.92404065068,52472.86404921941,55132.98403208195
2026-03-05 14:00:00+00:00,,52088.54221316515,50758.48222173388,53418.60220459642
2026-03-05 15:00:00+00:00,,50904.02596882242,49573.96597739115,52234.08596025369
2026-03-05 16:00:00+00:00,,52802.02504703937,51471.9650556081,54132.08503847064
2026-03-05 17:00:00+00:00,,54003.017718843745,52672.957727412475,55333.077710275014
2026-03-05 18:00:00+00:00,,54810.14566083125,53480.08566939998,56140.20565226252
2026-03-05 19:00:00+00:00,,52772.29534450832,51442.23535307705,54102.35533593959
2026-03-05 20:00:00+00:00,,53559.10123131787,52229.0412398866,54889.16122274914
2026-03-05 21:00:00+00:00,,53305.606828970485,51975.546837539216,54635.666820401755
2026-03-05 22:00:00+00:00,,52276.543467041505,50946.483475610235,53606.603458472775
2026-03-05 23:00:00+00:00,,49895.45323548783,48565.39324405657,51225.5132269191
