date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2026-01-24 00:00:00+00:00,60026.61,62322.59,61764.59011822613,62880.59001722308
2026-01-24 01:00:00+00:00,58218.8275,58985.02,58427.02095909288,59543.02085808983
2026-01-24 02:00:00+00:00,55893.369999999995,56701.723,56143.72288344169,57259.722782438635
2026-01-24 03:00:00+00:00,55145.755,56058.137,55500.13560710066,56616.13550609761
2026-01-24 04:00:00+00:00,55930.8825,56846.266,56288.26660991551,57404.266508912464
2026-01-24 05:00:00+00:00,57784.604999999996,61482.652,60924.6506180563,62040.650517053255
2026-01-24 06:00:00+00:00,59733.542499999996,62064.18,61506.17832673437,62622.17822573132
2026-01-24 07:00:00+00:00,62322.35,65541.16,64983.153560083076,66099.15345908003
2026-01-24 08:00:00+00:00,64403.207500000004,68296.99,67738.99144318463,68854.99134218159
2026-01-24 09:00:00+00:00,65015.9325,69150.36,68592.35669501078,69708.35659400772
2026-01-24 10:00:00+00:00,65011.494999999995,69789.67,69231.67450962248,70347.67440861941
2026-01-24 11:00:00+00:00,65806.395,69863.43,69305.43132400152,70421.43122299846
2026-01-24 12:00:00+00:00,63448.2425,68396.34,67838.34079373091,68954.34069272787
2026-01-24 13:00:00+00:00,61798.185,66740.15,66182.15073245994,67298.15063145688
2026-01-24 14:00:00+00:00,60294.182499999995,62654.52,62096.518805430154,63212.51870442711
2026-01-24 15:00:00+00:00,59455.485,62422.61,61864.61075635523,62980.61065535218
2026-01-24 16:00:00+00:00,61172.9475,63033.14,62475.13954266346,63591.139441660416
2026-01-24 17:00:00+00:00,65259.432499999995,66829.41,66271.40411163433,67387.40401063129
2026-01-24 18:00:00+00:00,66116.1975,65973.99,65415.98985745703,66531.98975645399
2026-01-24 19:00:00+00:00,63727.369999999995,65098.297,64540.296417384416,65656.29631638137
2026-01-24 20:00:00+00:00,61095.665,63632.844,63074.842907915954,64190.842806912915
2026-01-24 21:00:00+00:00,62060.0925,65657.0,65099.00398337807,66215.00388237502
2026-01-24 22:00:00+00:00,62355.957500000004,63263.06,62705.05675148827,63821.05665048522
2026-01-24 23:00:00+00:00,60841.24,61819.21,61261.21167426593,62377.21157326288
2026-01-25 00:00:00+00:00,58980.2,57906.777,57348.77557873392,58464.77547773087
2026-01-25 01:00:00+00:00,56943.4425,55424.723,54866.723063310004,55982.72296230696
2026-01-25 02:00:00+00:00,54571.1975,52946.566,52388.56680280042,53504.566701797376
2026-01-25 03:00:00+00:00,53452.08,51422.055,50864.054526569445,51980.0544255664
2026-01-25 04:00:00+00:00,53733.0025,53692.04,53134.03863085226,54250.038529849204
2026-01-25 05:00:00+00:00,54698.83,55751.35,55193.34991149126,56309.34981048822
2026-01-25 06:00:00+00:00,56120.92,57589.973,57031.974490496796,58147.97438949374
2026-01-25 07:00:00+00:00,57950.6925,60252.75,59694.7511943716,60810.751093368555
2026-01-25 08:00:00+00:00,60387.0375,60861.848,60303.8489506522,61419.848849649155
2026-01-25 09:00:00+00:00,62466.4225,63230.88,62672.87735737846,63788.87725637541
2026-01-25 10:00:00+00:00,63605.8875,63963.36,63405.35752903849,64521.357428035444
2026-01-25 11:00:00+00:00,64660.1475,66275.82,65717.81844566336,66833.8183446603
2026-01-25 12:00:00+00:00,62213.7625,63102.266,62544.26641145778,63660.26631045473
2026-01-25 13:00:00+00:00,60649.0275,61238.953,60680.955049837634,61796.95494883459
2026-01-25 14:00:00+00:00,59558.8025,58642.695,58084.69579632828,59200.69569532523
2026-01-25 15:00:00+00:00,58754.542499999996,59085.91,58527.91039360623,59643.910292603185
2026-01-25 16:00:00+00:00,60425.4325,61119.746,60561.74455349725,61677.744452494204
2026-01-25 17:00:00+00:00,65303.59,64424.508,63866.5078642241,64982.50776322105
2026-01-25 18:00:00+00:00,66935.7175,64020.21,63462.20977109288,64578.209670089826
2026-01-25 19:00:00+00:00,64519.155,63276.926,62718.92477745456,63834.92467645151
2026-01-25 20:00:00+00:00,62271.8225,59571.848,59013.84626580717,60129.84616480413
2026-01-25 21:00:00+00:00,62524.027500000004,59089.15,58531.1492956078,59647.149194604746
2026-01-25 22:00:00+00:00,62315.5125,58394.223,57836.221847996196,58952.22174699315
2026-01-25 23:00:00+00:00,60757.3525,58778.684,58220.68484710774,59336.684746104685
2026-01-26 00:00:00+00:00,59374.675,57167.875,56609.87576517179,57725.87566416875
2026-01-26 01:00:00+00:00,57885.9875,56251.64,55693.64091725469,56809.640816251645
2026-01-26 02:00:00+00:00,55875.744999999995,55430.742,54872.744052477894,55988.74395147485
2026-01-26 03:00:00+00:00,55722.0075,55759.785,55201.78705127312,56317.78695027007
2026-01-26 04:00:00+00:00,58635.7375,57724.824,57166.82574517469,58282.82564417165
2026-01-26 05:00:00+00:00,63748.600000000006,64261.066,63703.065090044176,64819.06498904113
2026-01-26 06:00:00+00:00,69510.8725,66226.34,65668.34309675732,66784.34299575427
2026-01-26 07:00:00+00:00,72619.03,67229.09,66671.09406996872,67787.09396896567
2026-01-26 08:00:00+00:00,73111.3125,68674.33,68116.33019077421,69232.33008977116
2026-01-26 09:00:00+00:00,72376.2425,70386.375,69828.37404469843,70944.37394369538
2026-01-26 10:00:00+00:00,71485.14749999999,70950.32,70392.32104662727,71508.32094562422
2026-01-26 11:00:00+00:00,70988.2025,70850.2,70292.20468337355,71408.2045823705
2026-01-26 12:00:00+00:00,69000.0575,67914.86,67356.86280423246,68472.86270322942
2026-01-26 13:00:00+00:00,68129.785,65780.234,65222.23735837359,66338.23725737055
2026-01-26 14:00:00+00:00,66830.48000000001,65343.723,64785.72230810897,65901.72220710592
2026-01-26 15:00:00+00:00,65797.7475,63853.062,63295.06158639265,64411.061485389604
2026-01-26 16:00:00+00:00,67114.175,65331.348,64773.34710940266,65889.3470083996
2026-01-26 17:00:00+00:00,71745.775,69290.37,68732.36983615582,69848.36973515277
2026-01-26 18:00:00+00:00,72538.75,69561.99,69003.99169484587,70119.99159384283
2026-01-26 19:00:00+00:00,68643.655,68659.21,68101.20804450428,69217.20794350124
2026-01-26 20:00:00+00:00,64784.6125,63410.71,62852.70972694676,63968.70962594371
